Date,Time,Room,Title,Summary,Experiment,Keywords,Interest,Type
2024-03-12,07:50:00 AM,,Modern Machine Learning Tools for Unfolding,"Modern machine learning tools are used to perform high-dimensional, unbinned unfolding of LHC data with methods such as event reweighting and direct mapping, accounting for correlations.",LHC,"['machine learning', 'unfolding', 'LHC data', 'event reweighting', 'high-dimensional methods']",3,Oral
2024-03-14,12:10:00 PM,,Implementation of zero trust security strategy in HEPS scientific computing system,Discusses designing a zero-trust security strategy for the HEPS scientific computing system to manage service permissions and improve cybersecurity.,,"['Zero Trust', 'Security', 'HEPS', 'Intranet', 'Computing Services']",1,Poster
2024-03-14,12:10:00 PM,,Using Legacy ATLAS C++ Calibration Tools in Modern Columnar Analysis Environments,Efforts to adapt legacy ATLAS C++ calibration tools for use in modern columnar analysis environments like Python/Awkward and RDataFrame.,ATLAS,"['ATLAS', 'C++', 'columnar analysis', 'Python', 'RDataFrame', 'calibration tools']",3,Poster
2024-03-14,12:10:00 PM,,Design and Implementation of a Container-based Public Service Cloud Platform for HEPS,"Study on developing a container-based cloud platform for High Energy Photon Source using Kubernetes to enhance resource utilization and system scalability, incorporating CICD for efficiency.",,"['container-based cloud', 'Kubernetes', 'CICD', 'HEPS', 'synchrotron radiation']",1,Poster
2024-03-13,12:15:00 PM,,Supervised job preemption methodology for controlled memory consumption of jobs running in the ALICE Grid,The paper discusses a methodology for controlled memory consumption in the ALICE Grid by implementing targeted job preemption to prevent overconsumption and promote job completion.,ALICE,"['Grid resources', 'memory allocation', 'multi-core tasks', 'resource management', 'job preemption']",1,Poster
2024-03-11,11:50:00 AM,Theatre,"Low Latency, High Bandwidth Streaming of Experimental Data with EJFAT","JLab and ESnet developed EJFAT, an FPGA-accelerated architecture for low latency, high throughput data streaming and dynamic load balancing.",,"['FPGA', 'data streaming', 'load balancing', 'JLab', 'ESnet', 'LBNL']",2,Oral
2024-03-11,11:30:00 AM,Theatre,CLAS12 remote data-stream processing using ERSAP framework,The abstract discusses integrating the JLAB CLAS12 event reconstruction application within the ERSAP data-stream processing framework to improve data processing workflows and quality assurance.,,"['data-stream processing', 'ERSAP', 'CLAS12', 'remote data processing', 'event reconstruction']",2,Oral
2024-03-11,11:10:00 AM,Theatre,HEP Benchmark Suite: Enhancing Efficiency and Sustainability in Worldwide LHC Computing Infrastructures,"This paper introduces the HEP Benchmark suite for measuring computing resource performance across WLCG sites, focusing on efficiency, power consumption, and anomaly detection.",,"['HEP Benchmark suite', 'WLCG', 'performance metrics', 'power consumption', 'compute resource utilization']",2,Oral
2024-03-11,10:50:00 AM,Theatre,A Function-As-Task Workflow Management Approach with PanDA and iDDS,"Overview of the PanDA and iDDS platform for automating multi-step data processing workflows, focusing on python-based user interfaces and distributed task scheduling.",ATLAS,"['Distributed Computing', 'Workflow Management', 'Python', 'Machine Learning']",3,Oral
2024-03-11,10:30:00 AM,Theatre,JUNO raw data management system,"Description of JUNO's raw data management system for distributed storage, data registration, replication, archiving, and reconstruction.",JUNO,"['Neutrino Physics', 'Data Management', 'Distributed Computing']",1,Oral
2024-03-13,01:10:00 PM,Theatre,CaloDiT: Diffusion with transformers for fast shower simulation,Combines diffusion models with transformer architecture for improved generalization in calorimeter shower simulations.,,"['transformers', 'diffusion models', 'calorimeter showers', 'deep learning']",2,Oral
2024-03-13,12:50:00 PM,Theatre,Towards a Simplified (Fast) Simulation Infrastructure in ATLAS,"The talk discusses the integration of FastCaloSimV2 into Geant4 to improve the simulation infrastructure of the ATLAS experiment, aiming to simplify and streamline the process.",ATLAS,"['Fast Simulation', 'Geant4', 'ISF', 'ATLAS', 'FastCaloSimV2']",2,Oral
2024-03-14,11:50:00 AM,Theatre,Effective denoising diffusion probabilistic models for fast and high fidelity whole-event simulation in high-energy heavy-ion experiment,Investigation of denoising diffusion probabilistic models (DDPM) for high-fidelity event simulation in high-energy heavy-ion experiments compared to GANs.,sPHENIX,"['AI generative models', 'DDPM', 'GANs', 'heavy-ion experiments', 'simulation']",2,Oral
2024-03-14,11:30:00 AM,Theatre,Deep learning methods for noise filtering in the NA61/SHINE experiment.,"The talk discusses using deep learning methods (DNN, CNN) for noise filtering in NA61/SHINE experiment's upgraded TPCs, highlighting model integration and performance metrics.",NA61/SHINE,"['deep learning', 'noise filtering', 'TPC', 'machine learning', 'C++', 'TensorFlow', 'Docker']",2,Oral
2024-03-14,01:50:00 PM,Theatre,First experiences with the LHCb heterogeneous software trigger,"Overview of LHCb's software trigger using GPUs and CPUs, discussing online alignment, calibration, and real-time analysis challenges from 2022-2023.",LHCb,"['LHCb', 'software trigger', 'GPUs', 'CPUs', 'real-time analysis', 'heterogeneous architecture']",1,Oral
2024-03-14,01:30:00 PM,Theatre,Phase-2  Upgrade of the ATLAS L1 Central Trigger,"Overview of the upgraded ATLAS L1 Central Trigger system for Phase 2 LHC, including new custom electronics, firmware, and the introduction of delayed triggers.",ATLAS,"['ATLAS', 'trigger system', 'Phase 2 upgrade', 'custom electronics', 'FPGA', 'SoC']",1,Oral
2024-03-12,08:50:00 AM,Theatre,Fair Universe: HiggsML Uncertainty Challenge,The Fair Universe project is creating an AI ecosystem for HEP to minimize systematic uncertainties and predict confidence intervals using large datasets and advanced analysis techniques.,,"['AI', 'systematic uncertainties', 'confidence intervals', 'Higgs decay', 'tau leptons', 'Codabench', 'NERSC', 'Perlmutter']",3,Oral
2024-03-14,12:10:00 PM,,The performance profiling of ptycho-W1Net AI algorithm on DCU and HUAWEI NPU 910,"The presentation discusses the profiling and performance of the W1-Net AI algorithm implemented on DCU and HUAWEI NPU 910 clusters, highlighting improvements and challenges compared to Nvidia GPUs.",,"['AI', 'performance profiling', 'DCU', 'HUAWEI NPU', 'Nvidia GPU']",1,Poster
2024-03-14,12:10:00 PM,,Scaling the SciDAC QuantOM Workflow,The QuantOM project analyzes DIS data from Jefferson Lab and the Electron Ion Collider using ML algorithms on HPC systems to optimize theory-experiment fits.,,"['SciDAC', 'Quantum Chromodynamics', 'DIS', 'HPC', 'ML']",1,Poster
2024-03-14,12:10:00 PM,,Monitoring the OSDF - Open Science Data Federation,"The OSDF enhances data distribution with new origins, caches, access methods, and monitoring tools, forming a key part of U.S. cyberinfrastructure.",,"['data distribution', 'monitoring', 'cyberinfrastructure', 'OSDF', 'StashCache']",2,Poster
2024-03-14,12:10:00 PM,,AI-driven HPC Workflows Execution with Adaptivity and Asynchronicity in Mind,Investigation into adaptive and asynchronous execution of heterogeneous tasks in scientific workflows using AI-driven middleware for improved resource utilization and reduced costs.,,"['AI', 'HPC', 'adaptive execution', 'asynchronous execution', 'middleware']",3,Poster
2024-03-14,12:10:00 PM,,Study of columnar data analysis methods to complete an ATLAS analysis,"Testing the applicability and user-friendliness of columnar data analysis tools, including ServiceX and Coffea, in completing a full Run-2 ATLAS analysis and discussing workflow adaptation challenges.",ATLAS,"['columnar data analysis', 'ServiceX', 'Coffea', 'HL-LHC', 'ATLAS analysis', 'supercomputer']",3,Poster
2024-03-14,12:10:00 PM,,Acceleration of the ML based fast simulation in high energy physics,"Study on improving the speed and quality of ML-based fast event and detector simulation using diffusion models, focusing on efficient samplers, schedulers, and training techniques.",,"['ML', 'fast simulation', 'diffusion model', 'high energy physics', 'CaloChallenge', 'JetNet']",3,Poster
2024-03-14,12:10:00 PM,,Portable acceleration of CMS computing workflow with coprocessors as a service,"Discusses using coprocessors to accelerate CMS data processing workflows, specifically offloading ML inference tasks to GPUs, with results from experiments at Google Cloud and Purdue Tier-2.",CMS,"['CMS', 'coprocessors', 'ML', 'GPU', 'data processing', 'workflow', 'SONIC']",3,Poster
2024-03-14,12:10:00 PM,,Celeritas: evaluating performance of HEP detector simulation on GPUs,"Celeritas is a Monte Carlo detector simulation library optimized for heterogeneous computing facilities, supporting CPUs and GPUs, and offering significant speedup for HL-LHC simulations.",ATLAS,"['Monte Carlo simulation', 'detector simulation', 'GPUs', 'performance optimization']",1,Poster
2024-03-14,12:10:00 PM,,Performance of the Gaussino CaloChallenge-compatible infrastucture for ML-based fast simulation in the LHCb Experiment,"Presentation of a new Gaussino component for integrating ML-based fast simulation in LHCb, supporting PyTorch and ONNXRuntime, and showcasing its application in CaloChallenge models and LHCb electromagnetic showers.",LHCb,"['fast simulation', 'machine learning', 'Gaussino', 'Geant4', 'PyTorch', 'ONNXRuntime', 'CaloChallenge', 'VAE']",3,Poster
2024-03-14,12:10:00 PM,,"columnflow: Fully automated analysis through flow of columns over arbitrary, distributed resources",Toolkit for columnar HEP analysis automating analysis workflows over distributed resources using Python and various libraries.,,"['columnar analysis', 'distributed computing', 'Python', 'ROOT', 'machine learning']",3,Poster
2024-03-14,12:10:00 PM,,Porting and optimizing the performance of LArTPC Detector Simulations with C++ standard parallelism,Explores the use of C++ standard parallelism for performance optimization in Liquid Argon Time Projection Chamber simulations within the HEP-CCE project.,,"['C++', 'parallelism', 'LArTPC', 'HEP-CCE', 'GPU']",1,Poster
2024-03-14,12:10:00 PM,,A Microbenchmark Framework for Performance Evaluation of OpenMP Target Offloading,Framework using Catch2 for evaluating OpenMP target offloading performance via micro-benchmarks on supercomputers like Perlmutter and Frontier.,,"['OpenMP', 'performance evaluation', 'micro-benchmarks', 'supercomputers', 'compilers']",1,Poster
2024-03-14,12:10:00 PM,,"Easy columnar file conversions with ""odapt""","A Python package 'odapt' simplifies the conversion of columnar data file formats, offers automatic memory management, compression, and supports merging and editing ROOT files using h5py, Uproot, Awkward, and dask-awkward.",,"['Python', 'columnar data', 'file conversion', 'ROOT', 'h5py', 'Uproot', 'Awkward', 'dask-awkward']",3,Poster
2024-03-13,12:15:00 PM,,"HPC, HTC and Cloud: converging toward a seamless computing federation with interLink","The interLink project integrates HPC, HTC, and Cloud computing for Digital Twin applications using Kubernetes APIs to enable transparent offloading across heterogeneous providers.",,"['HPC', 'HTC', 'Cloud Computing', 'Kubernetes', 'Digital Twins', 'Distributed Computing']",2,Poster
2024-03-13,12:15:00 PM,,RTDP: Streaming Readout Real-Time Development and Testing Platform,"JLab is developing the RTDP for streaming readout systems, integrating AI/ML, HTC, and heterogeneous computing to facilitate data processing and analysis.",,"['Streaming Readout', 'AI/ML', 'High Throughput Computing', 'Heterogeneous Computing']",2,Poster
2024-03-13,12:15:00 PM,,Hydra: Computer Vision for Data Quality Monitoring,"Hydra is a framework for training and deploying machine learning models for near real-time data quality monitoring, featuring web interfaces for dataset labeling and interpretability via gradCAM.",GlueX,"['Machine Learning', 'Data Quality Monitoring', 'Computer Vision', 'gradCAM', 'Jefferson Laboratory']",2,Poster
2024-03-13,12:15:00 PM,,Scalable GNN Training for Track Finding,"Graph Neural Networks are explored for particle track-finding in HEP, focusing on scalable training using distributed data parallelism on multi-GPUs and reporting preliminary results with TrackML dataset.",,"['Graph Neural Networks', 'Track Finding', 'Distributed Computing', 'Multi-GPU', 'TrackML']",2,Poster
2024-03-13,12:15:00 PM,,Awkward Family: expanding functionality through interrelated Python packages,"The talk discusses leveraging Python's packaging infrastructures to separate stable from experimental components in Uproot and Awkward Array, and introduces new related packages.",,"['Python', 'Uproot', 'Awkward Array', 'distributed computing', 'DataFrame', 'package management']",3,Poster
2024-03-13,12:15:00 PM,,Optimal XCache deployment for the CMS experiment in Spain,Study on optimizing data cache solutions for CMS experiment in Spain to enhance remote data access and resource utilization using CDN techniques.,CMS,"['data cache', 'CDN', 'computational infrastructure', 'CMS', 'LHC Computing Grid']",2,Poster
2024-03-13,12:15:00 PM,,Paving the Way for HPC: An XRootD-Based Approach for Efficiency and Workflow Optimizations for HEP Jobs on HPC Centers,Discusses the challenges and solutions for optimizing HEP workflows on HPC centers using an XRootD/XCache-based approach.,,"['HPC', 'XRootD', 'XCache', 'HEP workflows', 'compute optimization']",2,Poster
2024-03-13,12:15:00 PM,,Optimizing Resource Provisioning Across Diverse Computing Facilities with Virtual Kubelet Integration,The talk discusses optimizing resource provisioning across diverse computing facilities using Virtual Kubelet within the Kubernetes framework for improved flexibility and resource utilization.,,"['Resource Provisioning', 'Kubernetes', 'Virtual Kubelet', 'Distributed Computing']",2,Poster
2024-03-13,12:15:00 PM,,"The Good, The Bad, and the Ugly: A Tale of Physics, Software, and ML",Modernization of a neural network to discriminate long lived particles from background at the LHC's ATLAS experiment using advanced software techniques.,ATLAS,"['Long Lived Particles', 'Machine Learning', 'Neural Network', 'Adversary', 'Software Modernization']",3,Poster
2024-03-13,12:15:00 PM,,Lamarr: implementing a flash-simulation paradigm at LHCb,Lamarr is a new framework at LHCb using parametric functions and deep generative models to reduce computational cost in detector simulation by two orders of magnitude.,LHCb,"['fast simulation', 'machine learning', 'deep generative models', 'detector response', 'computational cost']",3,Poster
2024-03-13,12:15:00 PM,,Retrieval Augmented Generation for Particle Physics: A Case Study with the Snowmass White Papers and Reports,Explores using LLMs and Retrieval Augmented Generation to query and access information from the Snowmass reports corpus.,,"['LLMs', 'Retrieval Augmented Generation', 'Snowmass reports', 'document retrieval']",1,Poster
2024-03-13,12:15:00 PM,,"ServiceX, the novel data delivery system, for physics analysis","ServiceX leverages modern software for effective data extraction and delivery, crucial for High-Luminosity LHC. It uses Kubernetes and a new python client library with REST API for physics analysis.",,"['ServiceX', 'data extraction', 'python', 'Kubernetes', 'REST API', 'High-Luminosity LHC']",3,Poster
2024-03-13,12:15:00 PM,,LHC beam monitoring via real-time hit reconstruction in the LHCb VELO pixel detector,"Real-time hit reconstruction in the LHCb VELO pixel detector via cluster-finding embedded in readout board firmware, enabling precision monitoring and diagnostics of LHC beam conditions.",LHCb,"['real-time processing', 'hit reconstruction', 'VELO pixel detector', 'DAQ bandwidth', 'HLT computing resources', 'beam monitoring', 'luminosity measurement']",1,Poster
2024-03-13,12:15:00 PM,,Declarative paradigms for analysis description and implementation,"The talk discusses the adoption of declarative paradigms for analysis description to enhance processing speed, portability, and preservation in HEP experiments.",,"['declarative paradigms', 'data analysis', 'Python', 'CMS', 'analysis preservation']",3,Poster
2024-03-13,12:15:00 PM,,Quasi interactive analysis of High Energy Physics big data with high throughput,"This talk discusses porting multiple HEP data analysis applications to an interactive high-throughput platform using ROOT RDataFrame and distributed computing technologies like Jupyter, Dask, and HTCondor.",,"['interactive analysis', 'big data', 'ROOT RDataFrame', 'distributed computing', 'Jupyter', 'Dask', 'HTCondor']",3,Poster
2024-03-13,12:15:00 PM,,Preservation of the Direct Photons and Neutral Pions Analysis in the PHENIX Experiment at RHIC,"The PHENIX Collaboration discusses their Data and Analysis Preservation program, focusing on a complex analysis of direct photons and neutral pions in d+Au collisions using REANA.",PHENIX,"['Data Preservation', 'Analysis Techniques', 'REANA', 'PHENIX', 'd+Au Collisions']",3,Poster
2024-03-13,12:15:00 PM,,"AdaptivePerf: a portable, low-overhead, and comprehensive code profiler for single- and multi-threaded applications","AdaptivePerf is an open-source, low-overhead profiling tool for analyzing single- and multi-threaded applications, improving on Linux perf by offering extensive and user-friendly profiling features.",,"['profiling', 'performance', 'multi-threading', 'open-source', 'Linux perf']",2,Poster
2024-03-11,12:15:00 PM,,Generative Modeling for Fast Shower Simulation,This work presents deep generative models for simulating calorimeter shower events using various neural network architectures and distributed computing strategies.,,"['deep generative models', 'calorimeter shower simulation', 'neural networks', 'distributed computing']",3,Poster
2024-03-11,12:15:00 PM,,Enabling Computing Resources to Support Grid Jobs and Cluster Jobs Simultaneously,IHEP's computing platform integrates grid and local cluster resources to handle international and local experiment jobs using container technology and dynamic scheduling.,"ATLAS, CMS, LHCb, BELLEII, JUNO, BES, LHAASO","['Grid Computing', 'Cluster Computing', 'Resource Optimization', 'Container Technology']",2,Poster
2024-03-11,12:15:00 PM,,The Workflow Management System for Data Processing towards Photon Sources,"This project designs a graphical management system for data processing in photon source experiments, addressing high-throughput data and flexible experimental methodologies.",,"['workflow management', 'data processing', 'photon source', 'beam-line experiments']",1,Poster
2024-03-11,12:15:00 PM,,Deployment of ATLAS Calorimeter Fast Simulation Training Through Container Technology,"This work introduces FastCaloGANtainer, a containerized version of a fast simulation tool for the ATLAS calorimeter, aimed at reducing computational demands by using ML techniques and HPC clusters.",ATLAS,"['Fast Simulation', 'Machine Learning', 'Container Technology', 'High Performance Computing', 'Calorimeter', 'ATLAS']",2,Poster
2024-03-11,12:15:00 PM,,The ATLAS Web Run Control system,"The ATLAS Web Run Control system (WebRC) provides a web-based interface for monitoring and controlling ATLAS data taking, replacing the previous Igui system.",ATLAS,"['ATLAS', 'Web Application', 'Run Control', 'DAQ', 'Remote Operations']",1,Poster
2024-03-11,12:15:00 PM,,Energy consumption characterization of Subnuclear Physics computing workloads,This work characterizes the energy consumption of subnuclear physics computing workloads and offers insights for reducing their environmental footprint.,,"['energy consumption', 'subnuclear physics', 'computing workloads', 'environmental footprint']",1,Poster
2024-03-11,12:15:00 PM,,Offline data processing in the First JUNO Data Challenge,"This presentation discusses the offline data processing for the first Jiangmen Underground Neutrino Observatory (JUNO) Data Challenge, including data quality monitoring, reconstruction, and conditions database testing.",JUNO,"['Neutrino Physics', 'Data Processing', 'Reconstruction', 'Distributed Computing']",1,Poster
2024-03-11,12:15:00 PM,,Boosting CPU Efficiency in ATLAS Inner Detector Reconstruction with Track Overlay,Enhancing CPU efficiency in ATLAS inner detector reconstruction using track overlay and ML-based decision processes to manage pileup and hard-scatter tracks.,ATLAS,"['CPU efficiency', 'track overlay', 'machine learning', 'inner detector reconstruction', 'HL-LHC']",2,Poster
2024-03-11,12:15:00 PM,,Describe Data to get Science-Data-Ready Tooling: Awkward as a Target for Kaitai Struct YAML,The talk introduces the Awkward Target for Kaitai Struct Compiler and demonstrates converting custom data formats to Awkward Arrays using the Kaitai Struct Awkward Runtime API.,,"['Awkward Arrays', 'Kaitai Struct', 'Data Formats', 'Python', 'Scikit-HEP']",2,Poster
2024-03-11,12:15:00 PM,,AtlFast3: Fast Simulation in ATLAS for LHC Run 3 and beyond,"The talk discusses the improved AtlFast3 tool for fast simulation in ATLAS, utilizing parametric and machine learning methods to enhance MC event simulation for LHC Run 3.",ATLAS,"['fast simulation', 'ATLAS', 'MC events', 'machine learning', 'Generative Adversarial Networks']",2,Poster
2024-03-11,12:15:00 PM,,FATRAS integration for ATLAS fast simulation at HL-LHC,"Integration of FATRAS for fast simulation in ATLAS, focusing on improved modeling, efficiency, and multithread-compatibility for HL-LHC.",ATLAS,"['fast simulation', 'FATRAS', 'HL-LHC', 'ACTS-FATRAS', 'computing resources']",2,Poster
2024-03-11,12:15:00 PM,,"Athena MPI: A Multi-Node Version of ATLAS's Athena Framework, Using Message Passing Interface","This presentation discusses enabling ATLAS's Athena framework to run over multiple nodes using MPI, aiming to handle the increased data from the High Luminosity LHC.",ATLAS,"['ATLAS', 'Athena framework', 'MPI', 'High Performance Computing']",2,Poster
2024-03-11,12:15:00 PM,,interTwin - an Interdisciplinary Digital Twin Engine for Science,"The interTwin project leverages Digital Twins for event generation at CERN and environmental modeling, using AI and distributed computing tools.",,"['Digital Twins', 'AI', 'Distributed Computing', 'Event Generation', 'CERN']",3,Poster
2024-03-11,12:15:00 PM,,Interface to Unity for High Energy Physics detector visualization,The work discusses an automated interface to convert HEP detector descriptions to 3D models in Unity for enhanced visualization.,,"['HEP', 'detector visualization', 'Unity', '3D models', 'GDML', 'DD4hep', 'Geant4']",1,Poster
2024-03-11,12:15:00 PM,,Web based HXMT data analysis platform,"The report discusses an interactive web-based data analysis platform for HXMT satellite data using HXMTDAS, containers, virtualisation technology, and JupyterLab.",,"['HXMT', 'data analysis', 'web platform', 'JupyterLab', 'virtualisation']",1,Poster
2024-03-11,12:15:00 PM,,Visualizing BESIII Events with Unity,"Uses Unity for 3D modeling and animation to visualize BESIII detector events, aiding in analysis, interdisciplinary applications, and education.",BESIII,"['visualization', 'Unity', '3D modeling', 'BESIII', 'detector events']",1,Poster
2024-03-11,12:15:00 PM,,Introduction of dynamic job matching optimization for Grid middleware using Site Sonar infrastructure monitoring,A new approach for dynamically adding and modifying job matching parameters in Grid middleware using Site Sonar monitoring to enhance flexibility and reduce risks.,,"['Grid middleware', 'job matching', 'Site Sonar', 'infrastructure monitoring']",2,Poster
2024-03-12,07:30:00 AM,,The MadNIS Reloaded,"Combines machine-learned multi-channel weights and normalizing flows for improved numerical integration and event generation for LHC predictions, validated on processes like VBS and W+jets.",,"['machine learning', 'importance sampling', 'LHC', 'numerical integration']",2,Oral
2024-03-14,11:50:00 AM,,Two-loop five-points QCD amplitudes in full colour,"The talk covers recent advancements in calculating five-point scattering amplitudes in massless QCD beyond the leading-colour approximation, addressing the algebraic complexity of these calculations.",,"['QCD', 'five-point scattering amplitudes', 'massless', 'phenomenological studies', 'hadron colliders']",1,Oral
2024-03-14,11:30:00 AM,Lecture Hall 1,3-loop Feynman integrals in the Euclidean or physical kinematical region,This work addresses methods for 3-loop two-point Feynman integrals with up to 6 internal lines using numerical extrapolation and adaptive iterated integration.,,"['3-loop Feynman integrals', 'numerical extrapolation', 'adaptive iterated integration']",1,Oral
2024-03-14,02:10:00 PM,Theatre,Real-time track reconstruction with FPGAs in the LHCb Scintillating Fibre Tracker beyond Run 3,LHCb is developing a real-time tracking device using FPGAs to enhance track reconstruction in the Scintillating Fibre Tracker for future LHC runs.,LHCb,"['FPGA', 'real-time tracking', 'Scintillating Fibre Tracker', 'Run 4', 'Run 5']",2,Oral
2024-03-14,01:10:00 PM,Theatre,ATLAS TDAQ Phase-2,"The ATLAS experiment's TDAQ system is being upgraded for the High Luminosity LHC to handle increased data rates and pileup, utilizing commodity hardware, FPGAs, and commercial accelerators.",ATLAS,"['High Luminosity LHC', 'TDAQ', 'hardware', 'data acquisition', 'FPGAs', 'pileup']",1,Oral
2024-03-14,11:10:00 AM,Theatre,Pinpoint resource allocation for GPU batch applications,"Explores efficient resource allocation for GPU batch applications in HEP, focusing on Nvidia's MPS and KIT HTCondor batch system to improve throughput and energy efficiency.",,"['Machine Learning', 'GPU', 'Resource Allocation', 'High Energy Physics', 'HTCondor', 'Nvidia MPS']",3,Oral
2024-03-14,10:50:00 AM,Theatre,Fully containerised approach for the HPC cluster at FAIR,Operational approach for HPC cluster at GSI/FAIR using containerization for diverse workflows and user applications.,,"['HPC', 'containerization', 'FAIR', 'GSI', 'computing cluster', 'Spack', 'CVMFS']",2,Oral
2024-03-14,10:30:00 AM,Theatre,ACTS as a Service,"This talk covers deploying GNN-based track-finding algorithms as a service using Nvidia Triton Inference Server within ACTS for HL-LHC, focusing on computational challenges and scalability.",,"['GNN', 'track finding', 'HL-LHC', 'ACTS', 'Nvidia Triton', 'GPU', 'cloud computing', 'HPC']",2,Oral
