Date,Time,Room,Title,Summary,Experiment,Keywords,Interest,Type
2024-03-11,11:10:00 AM,Lecture Hall 1,QUnfold: Quantum Annealing for Distributions Unfolding in High-Energy Physics,"This work presents QUnfold, a Python module utilizing quantum annealing for statistical unfolding in high-energy physics, enhancing accuracy in experimental data analysis.",LHC,"['Unfolding', 'Quantum Computing', 'High-Energy Physics', 'Python', 'QUBO']",1,Oral
2024-03-11,10:50:00 AM,Lecture Hall 1,quantum GAN for fast shower simulation,"The study explores using quantum GANs for rapid shower simulation in high-energy physics, focusing on hybrid quantum-classical models and their performance on quantum hardware.",ATLAS,"['quantum GAN', 'shower simulation', 'generative adversarial networks', 'quantum computing']",1,Oral
2024-03-11,10:30:00 AM,Lecture Hall 1,Quantum simulation with just-in-time compilation,The presentation discusses quantum simulation techniques using just-in-time compilation for optimizing quantum algorithms on various hardware.,,"['quantum simulation', 'just-in-time compilation', 'quantum computing', 'Qibo', 'performance benchmarks']",1,Oral
2024-03-11,01:30:00 PM,Lecture Hall 1,Towards an open-source hybrid quantum operating system,"The presentation discusses Qibo, an open-source quantum computing framework for simulating circuits and executing algorithms on custom quantum hardware.",,"['quantum computing', 'open-source', 'simulation', 'quantum hardware', 'calibration']",1,Oral
2024-03-11,01:10:00 PM,Lecture Hall 1,Quantum-centric Supercomputing for Physics Research,The talk discusses Quantum-centric Supercomputing (QCSC) and its integration of quantum and classical computing for advanced physics computations.,,"['Quantum Computing', 'Supercomputing', 'Machine Learning', 'HPC', 'Physics Research']",1,Oral
2024-03-11,12:50:00 PM,Lecture Hall 1,Advancing Image Classification using Intel SDK: Integrating NAQSS Encoding with Hybrid Quantum-Classical PQC Models,"The research explores image classification using quantum machine learning and NAQSS encoding, improving accuracy with larger image sizes through a hybrid quantum-classical approach.",,"['Image Classification', 'Quantum Machine Learning', 'NAQSS', 'Parameterized Quantum Circuit', 'Intel SDK']",1,Oral
2024-03-12,07:50:00 AM,,Modern Machine Learning Tools for Unfolding,"The talk discusses modern machine learning tools for unfolding LHC data, focusing on techniques that handle high-dimensional distributions and event correlations.",LHC,"['machine learning', 'unfolding', 'LHC data', 'high-dimensional analysis']",2,Oral
2024-03-14,12:10:00 PM,,Implementation of zero trust security strategy in HEPS scientific computing system,"The abstract discusses a zero trust security strategy for HEPS scientific computing, focusing on user identity tokens for fine-grained service permission management.",,"['zero trust', 'security', 'computing', 'HEPS', 'service permissions']",1,Poster
2024-03-14,12:10:00 PM,,Using Legacy ATLAS C++ Calibration Tools in Modern Columnar Analysis Environments,"The presentation discusses adapting legacy ATLAS C++ calibration tools for use in modern Python-based columnar analysis environments, enabling efficient calibration and uncertainty calculations.",ATLAS,"['calibration', 'columnar analysis', 'Python', 'RDataFrame', 'systematic uncertainties']",2,Poster
2024-03-14,12:10:00 PM,,Design and Implementation of a Container-based Public Service Cloud Platform for HEPS,"The study presents a container-based cloud platform for High Energy Photon Source, focusing on scalability, security, and CI/CD for efficient deployment and resource management.",,"['container technology', 'cloud platform', 'Kubernetes', 'CI/CD', 'resource management']",1,Poster
2024-03-13,12:15:00 PM,,Supervised job preemption methodology for controlled memory consumption of jobs running in the ALICE Grid,The abstract discusses a methodology for managing memory consumption in the ALICE Grid by implementing job preemption to optimize resource usage and improve task completion.,ALICE,"['Grid computing', 'resource management', 'job preemption', 'ALICE experiment', 'memory allocation']",1,Poster
2024-03-11,11:50:00 AM,Theatre,"Low Latency, High Bandwidth Streaming of Experimental Data with EJFAT","The presentation discusses a data processing architecture utilizing FPGA acceleration for low-latency, high-bandwidth experimental data streaming at JLab.",JLab,"['data streaming', 'FPGA', 'low latency', 'computational architecture', 'data processing']",1,Oral
2024-03-11,11:30:00 AM,Theatre,CLAS12 remote data-stream processing using ERSAP framework,"The talk discusses a framework for remote data-stream processing in high-performance computing, highlighting its advantages in data migration and real-time data quality assurance.",CLAS12,"['data processing', 'streaming', 'HPC', 'data quality assurance', 'event reconstruction']",1,Oral
2024-03-11,11:10:00 AM,Theatre,HEP Benchmark Suite: Enhancing Efficiency and Sustainability in Worldwide LHC Computing Infrastructures,The HEP Benchmark Suite aims to improve efficiency and sustainability in LHC computing by standardizing performance metrics across the Worldwide LHC Computing Grid.,,"['LHC', 'computing', 'efficiency', 'sustainability', 'benchmarking', 'WLCG']",1,Oral
2024-03-11,10:50:00 AM,Theatre,A Function-As-Task Workflow Management Approach with PanDA and iDDS,"The talk discusses a workflow management approach using PanDA and iDDS for automating complex data processing in high energy physics, with a focus on Python implementations and distributed resources.",ATLAS,"['workflow management', 'PanDA', 'iDDS', 'Python', 'distributed computing', 'machine learning']",2,Oral
2024-03-11,10:30:00 AM,Theatre,JUNO raw data management system,"The JUNO project focuses on managing large volumes of neutrino data, ensuring efficient storage, distribution, and processing of raw data across multiple data centers.",JUNO,"['data management', 'distributed computing', 'neutrino physics', 'data processing']",1,Oral
2024-03-13,01:10:00 PM,Theatre,CaloDiT: Diffusion with transformers for fast shower simulation,"The presentation introduces CaloDiT, a model combining diffusion processes with transformer architecture for improved calorimeter shower simulation.",,"['transformers', 'diffusion models', 'calorimeter showers', 'deep learning', 'machine learning']",1,Oral
2024-03-13,12:50:00 PM,Theatre,Towards a Simplified (Fast) Simulation Infrastructure in ATLAS,"This presentation discusses the development of a fast simulation infrastructure for the ATLAS experiment using Geant4, aiming to improve simulation efficiency and reduce complexity.",ATLAS,"['simulation', 'Geant4', 'ATLAS', 'FastCaloSimV2', 'Monte Carlo']",1,Oral
2024-03-14,11:50:00 AM,Theatre,Effective denoising diffusion probabilistic models for fast and high fidelity whole-event simulation in high-energy heavy-ion experiment,"The study explores denoising diffusion probabilistic models as generative surrogates for simulating high-energy heavy-ion events, showing improved performance over GANs in rare data regions.",sPHENIX,"['AI', 'generative models', 'heavy-ion physics', 'event simulation', 'quark-gluon plasma']",2,Oral
2024-03-14,11:30:00 AM,Theatre,Deep learning methods for noise filtering in the NA61/SHINE experiment.,"The presentation discusses deep learning models for noise filtering in the NA61/SHINE experiment, focusing on their integration and performance metrics.",NA61/SHINE,"['deep learning', 'noise filtering', 'machine learning', 'data analysis', 'C++']",2,Oral
2024-03-14,01:50:00 PM,Theatre,First experiences with the LHCb heterogeneous software trigger,"The talk covers the implementation of a software trigger at LHCb using GPUs and CPUs, focusing on real-time data analysis and online calibration challenges.",LHCb,"['software trigger', 'real-time analysis', 'LHCb', 'heterogeneous architecture', 'online reconstruction']",1,Oral
2024-03-14,01:30:00 PM,Theatre,Phase-2  Upgrade of the ATLAS L1 Central Trigger,"The presentation discusses the upgrade of the ATLAS Level-1 Central Trigger system for Phase 2 of LHC operations, focusing on new hardware and software implementations.",ATLAS,"['trigger system', 'LHC', 'FPGA', 'electronics', 'upgrade']",1,Oral
2024-03-12,08:50:00 AM,Theatre,Fair Universe: HiggsML Uncertainty Challenge,"This presentation discusses a large-scale AI ecosystem for HEP, focusing on minimizing systematic uncertainties and evaluating uncertainty-aware ML methods through public challenges.",LHC,"['AI', 'uncertainty', 'Higgs boson', 'data analysis', 'machine learning']",2,Oral
2024-03-14,12:10:00 PM,,The performance profiling of ptycho-W1Net AI algorithm on DCU and HUAWEI NPU 910,"The presentation discusses the development and performance profiling of the W1-Net AI algorithm on different computing clusters, focusing on training speed and precision improvements.",,"['AI', 'performance profiling', 'W1-Net', 'NPU', 'GPU']",1,Poster
2024-03-14,12:10:00 PM,,Scaling the SciDAC QuantOM Workflow,"The QuantOM project focuses on analyzing Deep Inelastic Scattering data using a machine learning-optimized, GPU-based workflow across high-performance computing systems.","Jefferson Lab, Electron Ion Collider","['Quantum Chromodynamics', 'Deep Inelastic Scattering', 'machine learning', 'high performance computing', 'distributed computing']",1,Poster
2024-03-14,12:10:00 PM,,Monitoring the OSDF - Open Science Data Federation,"The OSDF enhances data distribution and monitoring in computational physics, expanding the StashCache project for efficient data sharing and health monitoring.",,"['data distribution', 'Open Science Data Federation', 'monitoring', 'computational physics']",2,Poster
2024-03-14,12:10:00 PM,,AI-driven HPC Workflows Execution with Adaptivity and Asynchronicity in Mind,The presentation discusses a novel middleware for executing scientific workflows that adapts resources based on historical data and supports asynchronous task execution.,,"['machine learning', 'high-performance computing', 'workflow execution', 'asynchronicity', 'resource utilization']",2,Poster
2024-03-14,12:10:00 PM,,Study of columnar data analysis methods to complete an ATLAS analysis,"The presentation tests columnar analysis tools, focusing on ServiceX and Coffea, to enhance ATLAS analysis efficiency and publishable results.",ATLAS,"['columnar analysis', 'ServiceX', 'Coffea', 'Run-2 analysis', 'supercomputing']",3,Poster
2024-03-14,12:10:00 PM,,Acceleration of the ML based fast simulation in high energy physics,"This study explores efficient sampling techniques for ML-based simulations in high energy physics, focusing on speed and sample quality improvements for the LHC.",,"['Machine Learning', 'fast simulation', 'high energy physics', 'sampling techniques', 'LHC']",2,Poster
2024-03-14,12:10:00 PM,,Portable acceleration of CMS computing workflow with coprocessors as a service,"The talk discusses the use of coprocessors to enhance the data processing workflow of the CMS experiment, focusing on machine learning inference acceleration.",CMS,"['Coprocessors', 'Machine Learning', 'Data Processing', 'CMS', 'Throughput Improvement']",2,Poster
2024-03-14,12:10:00 PM,,Celeritas: evaluating performance of HEP detector simulation on GPUs,"Celeritas is a GPU-accelerated Monte Carlo detector simulation library designed for high-energy physics, showing significant performance improvements over traditional CPU simulations.",ATLAS,"['GPU', 'detector simulation', 'Monte Carlo', 'High-Luminosity LHC', 'Geant4']",1,Poster
2024-03-14,12:10:00 PM,,Performance of the Gaussino CaloChallenge-compatible infrastucture for ML-based fast simulation in the LHCb Experiment,"The talk presents a new component in the Gaussino framework for fast simulation using machine learning, specifically for the LHCb experiment, with a focus on electromagnetic showers.",LHCb,"['machine learning', 'fast simulation', 'calorimeter', 'Gaussino', 'VAE']",2,Poster
2024-03-14,12:10:00 PM,,"columnflow: Fully automated analysis through flow of columns over arbitrary, distributed resources","The presentation introduces *columnflow*, a Python toolkit for automating large-scale HEP analyses using distributed resources and various data formats.",,"['automated analysis', 'distributed computing', 'Python', 'machine learning', 'data workflow']",3,Poster
2024-03-14,12:10:00 PM,,Porting and optimizing the performance of LArTPC Detector Simulations with C++ standard parallelism,"The presentation explores optimizing LArTPC simulations using C++ standard parallelism, comparing it with other programming models for better performance in high energy physics workflows.",,"['LArTPC', 'C++', 'parallelism', 'HEP', 'performance optimization']",1,Poster
2024-03-14,12:10:00 PM,,A Microbenchmark Framework for Performance Evaluation of OpenMP Target Offloading,"The framework evaluates OpenMP's target offload model performance through micro-benchmarks, aiding compiler developers and users in assessing performance impacts.",,"['OpenMP', 'performance evaluation', 'micro-benchmarks', 'heterogeneous architectures', 'compiler development']",1,Poster
2024-03-14,12:10:00 PM,,"Easy columnar file conversions with ""odapt""","The 'odapt' Python package simplifies columnar file conversions, automating memory management and enhancing usability for handling ROOT files.",,"['Python', 'file conversion', 'ROOT', 'memory management', 'dask']",2,Poster
2024-03-13,12:15:00 PM,,"HPC, HTC and Cloud: converging toward a seamless computing federation with interLink","The interLink project aims to integrate HPC, HTC, and Cloud computing to optimize digital twin applications using Kubernetes, facilitating seamless access to diverse computing resources.",,"['HPC', 'HTC', 'Cloud computing', 'Kubernetes', 'digital twins', 'interLink']",1,Poster
2024-03-13,12:15:00 PM,,RTDP: Streaming Readout Real-Time Development and Testing Platform,"JLab is developing a platform for streaming readout that integrates AI/ML, distributed computing, and simulation for efficient data processing and analysis.",,"['Streaming Readout', 'Artificial Intelligence', 'Machine Learning', 'Distributed Computing', 'Data Processing']",2,Poster
2024-03-13,12:15:00 PM,,Hydra: Computer Vision for Data Quality Monitoring,"Hydra is a framework for machine learning-based data quality monitoring, utilizing computer vision to enhance real-time analysis and efficiency in experimental setups.",GlueX,"['machine learning', 'data quality monitoring', 'computer vision', 'real-time analysis']",2,Poster
2024-03-13,12:15:00 PM,,Scalable GNN Training for Track Finding,"The presentation discusses scalable training strategies for Graph Neural Networks in particle track-finding, focusing on distributed data parallelism and its effects on accuracy.",,"['Graph Neural Networks', 'track finding', 'distributed computing', 'GPU', 'data parallelism']",2,Poster
2024-03-13,12:15:00 PM,,Awkward Family: expanding functionality through interrelated Python packages,"The poster discusses the evolution of Uproot and Awkward Array in Python, focusing on separating stable from experimental components and introducing new functionalities for data analysis.",,"['Python', 'Uproot', 'Awkward Array', 'Dask', 'DataFrame', 'distributed computing']",2,Poster
2024-03-13,12:15:00 PM,,Optimal XCache deployment for the CMS experiment in Spain,"The abstract discusses optimizing data cache solutions for the CMS experiment in Spain, focusing on enhancing data access efficiency in light of increased collision data from LHC upgrades.",CMS,"['data cache', 'CMS', 'LHC', 'computational infrastructure', 'Content Delivery Network']",1,Poster
2024-03-13,12:15:00 PM,,Paving the Way for HPC: An XRootD-Based Approach for Efficiency and Workflow Optimizations for HEP Jobs on HPC Centers,"The talk discusses challenges and solutions for optimizing HEP workflows on heterogeneous HPC centers, focusing on XRootD/XCache to improve efficiency and performance.",,"['HPC', 'XRootD', 'HEP workflows', 'efficiency', 'data processing']",1,Poster
2024-03-13,12:15:00 PM,,Optimizing Resource Provisioning Across Diverse Computing Facilities with Virtual Kubelet Integration,The work focuses on optimizing resource management and scheduling in diverse computing facilities using Virtual Kubelet for enhanced flexibility and resource utilization.,,"['resource management', 'Kubernetes', 'Virtual Kubelet', 'distributed computing', 'workflow scheduling']",1,Poster
2024-03-13,12:15:00 PM,,"The Good, The Bad, and the Ugly: A Tale of Physics, Software, and ML","The talk discusses using an RNN to improve the identification of long lived particles at the LHC, focusing on software modernization and systematic error control.",ATLAS,"['long lived particles', 'machine learning', 'neural networks', 'software modernization', 'signal discrimination']",3,Poster
2024-03-13,12:15:00 PM,,Lamarr: implementing a flash-simulation paradigm at LHCb,The Lamarr framework implements a flash-simulation paradigm for LHCb to improve simulation efficiency using machine learning and generative models.,LHCb,"['simulation', 'machine learning', 'deep generative models', 'LHCb', 'computational efficiency']",2,Poster
2024-03-13,12:15:00 PM,,Retrieval Augmented Generation for Particle Physics: A Case Study with the Snowmass White Papers and Reports,The presentation discusses using Retrieval Augmented Generation with Large Language Models to analyze and retrieve information from the Snowmass reports in particle physics.,,"['Large Language Models', 'Retrieval Augmented Generation', 'Snowmass', 'particle physics', 'information retrieval']",2,Poster
2024-03-13,12:15:00 PM,,"ServiceX, the novel data delivery system, for physics analysis","ServiceX addresses data extraction challenges for physics analysis, presenting a python-based system with transformer containers and REST API integration.",,"['ServiceX', 'data delivery', 'python', 'Kubernetes', 'physics analysis']",3,Poster
2024-03-13,12:15:00 PM,,LHC beam monitoring via real-time hit reconstruction in the LHCb VELO pixel detector,"The talk discusses real-time hit reconstruction in the LHCb VELO pixel detector, enhancing data processing and beam monitoring capabilities.",LHCb,"['real-time processing', 'hit reconstruction', 'data acquisition', 'beam monitoring', 'pixel detector']",1,Poster
2024-03-13,12:15:00 PM,,Declarative paradigms for analysis description and implementation,"The presentation discusses a new declarative approach to analysis in high energy physics, enhancing speed, portability, and preservation of analyses across different datasets.",CMS,"['declarative paradigms', 'data analysis', 'analysis preservation', 'Python', 'big data']",2,Poster
2024-03-13,12:15:00 PM,,Quasi interactive analysis of High Energy Physics big data with high throughput,"The presentation discusses a new interactive high-throughput data analysis approach for processing large datasets in High Energy Physics, utilizing tools like Dask and ROOT RDataFrame.",,"['High Energy Physics', 'big data', 'data analysis', 'Dask', 'ROOT RDataFrame', 'high-throughput', 'cloud infrastructure']",3,Poster
2024-03-13,12:15:00 PM,,Preservation of the Direct Photons and Neutral Pions Analysis in the PHENIX Experiment at RHIC,"The PHENIX Collaboration discusses their Data and Analysis Preservation program, focusing on a significant analysis of direct photons and neutral pions using containerization and REANA.",PHENIX,"['Data Preservation', 'Analysis Preservation', 'Direct Photons', 'Neutral Pions', 'REANA']",2,Poster
2024-03-13,12:15:00 PM,,"AdaptivePerf: a portable, low-overhead, and comprehensive code profiler for single- and multi-threaded applications",AdaptivePerf is a profiling tool aimed at improving performance analysis for complex applications by addressing bottlenecks in both single- and multi-threaded environments.,,"['profiling', 'performance', 'multi-threaded', 'open-source', 'software tools']",1,Poster
2024-03-11,12:15:00 PM,,Generative Modeling for Fast Shower Simulation,The presentation discusses a deep learning framework for simulating calorimeter shower events using various generative models and distributed computing strategies.,,"['Generative Models', 'Deep Learning', 'Calorimeter Simulation', 'Distributed Computing']",2,Poster
2024-03-11,12:15:00 PM,,Enabling Computing Resources to Support Grid Jobs and Cluster Jobs Simultaneously,The presentation discusses optimizing computing resources for both grid and local cluster jobs by using container technology and dynamic scheduling to improve utilization rates.,"ATLAS, CMS, LHCb, JUNO, BES","['computing resources', 'grid jobs', 'cluster jobs', 'container technology', 'dynamic scheduling']",1,Poster
2024-03-11,12:15:00 PM,,The Workflow Management System for Data Processing towards Photon Sources,"The presentation discusses a workflow management system designed to address data processing challenges in next-generation photon sources, enhancing experimental analysis methods.",,"['workflow management', 'data processing', 'photon sources', 'scientific research']",1,Poster
2024-03-11,12:15:00 PM,,Deployment of ATLAS Calorimeter Fast Simulation Training Through Container Technology,"The presentation discusses a containerized ML tool for fast calorimeter simulation in ATLAS, focusing on training efficiency and resource management.",ATLAS,"['calorimeter', 'fast simulation', 'machine learning', 'container technology', 'ATLAS']",2,Poster
2024-03-11,12:15:00 PM,,The ATLAS Web Run Control system,"The presentation outlines the development of a web-based run control system for the ATLAS experiment, enhancing monitoring and control of data taking sessions.",ATLAS,"['WebRC', 'Run Control', 'Data Taking', 'Monitoring', 'Apache Wicket']",1,Poster
2024-03-11,12:15:00 PM,,Energy consumption characterization of Subnuclear Physics computing workloads,"This work analyzes the energy consumption of computing workloads in Subnuclear physics, highlighting the environmental impact and offering insights for energy efficiency.",,"['energy consumption', 'computational footprint', 'sustainability', 'subnuclear physics']",1,Poster
2024-03-11,12:15:00 PM,,Offline data processing in the First JUNO Data Challenge,"The presentation discusses the data processing challenges and methods for the JUNO experiment, focusing on the first Data Challenge involving multi-threaded reconstruction.",JUNO,"['data processing', 'multi-threaded reconstruction', 'ROOT', 'neutrino physics']",1,Poster
2024-03-11,12:15:00 PM,,Boosting CPU Efficiency in ATLAS Inner Detector Reconstruction with Track Overlay,The work focuses on improving CPU efficiency in ATLAS inner detector reconstruction using a track overlay approach and machine learning for event selection.,ATLAS,"['CPU efficiency', 'ATLAS', 'track overlay', 'machine learning', 'high-luminosity']",2,Poster
2024-03-11,12:15:00 PM,,Describe Data to get Science-Data-Ready Tooling: Awkward as a Target for Kaitai Struct YAML,"The talk presents a method to convert custom scientific data formats into Awkward Arrays using Kaitai Struct, facilitating easier data analysis for various experiments.",CDMS,"['Awkward Arrays', 'Kaitai Struct', 'data formats', 'analysis software', 'Scikit-HEP']",2,Poster
2024-03-11,12:15:00 PM,,AtlFast3: Fast Simulation in ATLAS for LHC Run 3 and beyond,"The presentation discusses the improved AtlFast3 simulation tool for the ATLAS experiment, focusing on enhancing event simulation using machine learning approaches.",ATLAS,"['simulation', 'machine learning', 'fast simulation', 'ATLAS', 'LHC']",2,Poster
2024-03-11,12:15:00 PM,,FATRAS integration for ATLAS fast simulation at HL-LHC,The integration of FATRAS into ATLAS fast simulation enhances efficiency and accuracy in simulating particle interactions for HL-LHC while reducing CPU resource needs.,ATLAS,"['simulation', 'FATRAS', 'fast simulation', 'HL-LHC', 'computational efficiency']",1,Poster
2024-03-11,12:15:00 PM,,"Athena MPI: A Multi-Node Version of ATLAS's Athena Framework, Using Message Passing Interface",The talk presents a multi-node version of the ATLAS Athena framework to efficiently process LHC data on High Performance Computing resources using MPI.,ATLAS,"['High Luminosity LHC', 'High Performance Computing', 'Multi-node', 'Message Passing Interface', 'Athena Framework']",1,Poster
2024-03-11,12:15:00 PM,,interTwin - an Interdisciplinary Digital Twin Engine for Science,"The interTwin project focuses on using Digital Twins in physics and environmental science, enhancing AI methodologies for particle detector simulation and cloud computing.",CERN,"['Digital Twins', 'AI', 'particle detector simulation', 'cloud computing', 'hyperparameter optimization', 'distributed training']",2,Poster
2024-03-11,12:15:00 PM,,Interface to Unity for High Energy Physics detector visualization,The work focuses on creating an automated interface to convert detector descriptions in HEP into 3D models using Unity for enhanced visualization and analysis.,,"['detector visualization', 'Unity', '3D models', 'HEP software', 'GDML', 'Geant4']",1,Poster
2024-03-11,12:15:00 PM,,Web based HXMT data analysis platform,"The presentation discusses a web-based data analysis platform for the HXMT satellite, allowing interactive analysis of X-ray data without complex setups.",,"['HXMT', 'data analysis', 'web platform', 'JupyterLab', 'X-ray astronomy']",1,Poster
2024-03-11,12:15:00 PM,,Visualizing BESIII Events with Unity,"The presentation discusses using Unity for 3D visualization of events from the BESIII spectrometer, enhancing detector design and data analysis.",BESIII,"['visualization', 'event display', 'BESIII', 'detector design', 'data analysis']",1,Poster
2024-03-11,12:15:00 PM,,Introduction of dynamic job matching optimization for Grid middleware using Site Sonar infrastructure monitoring,"The paper presents a novel method for dynamic job matching optimization in Grid middleware, improving resource allocation without altering core code.",,"['Grid middleware', 'job matching', 'infrastructure monitoring', 'resource allocation']",1,Poster
2024-03-12,07:30:00 AM,,The MadNIS Reloaded,"The work enhances numerical integration for LHC predictions using machine learning techniques, improving efficiency and accuracy through various advanced methods.",LHC,"['machine learning', 'numerical integration', 'LHC', 'importance sampling', 'VEGAS', 'event generation']",2,Oral
2024-03-14,11:50:00 AM,,Two-loop five-points QCD amplitudes in full colour,"The talk covers the calculation of complex five-point scattering amplitudes in massless QCD, focusing on methodology and implications for phenomenological studies.",,"['QCD', 'scattering amplitudes', 'hadron colliders', 'phenomenology']",1,Oral
2024-03-14,11:30:00 AM,Lecture Hall 1,3-loop Feynman integrals in the Euclidean or physical kinematical region,"The work focuses on numerical methods for calculating 3-loop Feynman integrals, exploring double extrapolation and adaptive integration techniques.",,"['Feynman integrals', 'numerical methods', 'extrapolation', 'integration']",1,Oral
2024-03-14,02:10:00 PM,Theatre,Real-time track reconstruction with FPGAs in the LHCb Scintillating Fibre Tracker beyond Run 3,"The presentation discusses a new FPGA-based system for real-time track reconstruction in the LHCb experiment, aimed at improving tracking performance for high luminosity runs.",LHCb,"['track reconstruction', 'FPGA', 'LHCb', 'long-lived particles', 'distributed systems']",2,Oral
2024-03-14,01:10:00 PM,Theatre,ATLAS TDAQ Phase-2,"The ATLAS experiment's TDAQ upgrade aims to handle increased data rates and pileup from the High Luminosity LHC, including new hardware and algorithms for data acquisition.",ATLAS,"['TDAQ', 'High Luminosity LHC', 'data acquisition', 'trigger system', 'FPGA']",1,Oral
2024-03-14,11:10:00 AM,Theatre,Pinpoint resource allocation for GPU batch applications,"The presentation discusses optimizing GPU resource allocation for machine learning applications in high energy physics, focusing on energy efficiency and throughput.",,"['GPU', 'Machine Learning', 'High Energy Physics', 'Resource Allocation', 'Energy Efficiency']",2,Oral
2024-03-14,10:50:00 AM,Theatre,Fully containerised approach for the HPC cluster at FAIR,"The talk discusses a containerized HPC system designed for the diverse needs of users at the FAIR accelerator, highlighting scalability and user adaptability.",,"['HPC', 'containerization', 'FAIR', 'user applications', 'computing cluster']",1,Oral
2024-03-14,10:30:00 AM,Theatre,ACTS as a Service,The talk discusses a GNN-based track finding algorithm for high-energy physics that utilizes a cloud or HPC service architecture to enhance performance and scalability.,,"['Graph Neural Networks', 'track finding', 'cloud computing', 'ACTS', 'high-performance computing']",2,Oral
2024-03-13,11:50:00 AM,Theatre,Key4hep,"Key4hep is a software stack for detailed simulation studies of advanced detector models, integrating machine learning tools for performance evaluation.",,"['simulation', 'detector studies', 'machine learning', 'Higgs factories', 'reconstruction tools']",2,Oral
2024-03-13,11:30:00 AM,Theatre,Bridging Worlds: Achieving Language Interoperability between Julia and Python in Scientific Computing,"This presentation discusses achieving interoperability between Julia and Python in scientific computing, focusing on performance and data handling for HEP data analysis.",,"['Julia', 'Python', 'interoperability', 'scientific computing', 'HEP data analysis', 'Awkward Array']",1,Oral
2024-03-13,11:10:00 AM,Theatre,A Mechanism for Asynchronous Offloading in the Multithreaded Gaudi Event Processing Framework,"The talk presents a prototype for enhancing the Gaudi framework's scheduler to efficiently manage GPU-accelerated algorithms, improving CPU and GPU resource utilization.","ATLAS, LHCb","['High Performance Computing', 'Gaudi', 'GPU', 'Asynchronous Processing', 'Thread Management']",1,Oral
2024-03-13,10:50:00 AM,Theatre,Optimizing the CMS Offline Software Infrastrucure for Run 3,"The presentation discusses enhancements to the CMS offline software infrastructure, focusing on optimization techniques and improvements for Run 3.",CMS,"['CMSSW', 'software optimization', 'data processing', 'CERN', 'Run 3']",1,Oral
