Date,Time,Room,Title,Summary,Experiment,Keywords,Interest,Type
2024-03-14,07:10:00 PM,,Portable acceleration of CMS computing workflow with coprocessors as a service,"CMS's CHP-C approach accelerates ML inference tasks using local and remote GPU-based coprocessors, improving data processing workflows without affecting throughput performance across computing environments including Google Cloud and Purdue Tier-2 center. The presented approach is scalable, suggesting significant benefits for future LHC experiment data needs. This talk combines insights in differentiable programming, distributed computing frameworks, coprocessor technology with a machine learning context specific to the CMS experiment's data processing demands, offering potential performance gains and operational efficiencies. Despite concerns with coprocessor specialization and complexity, benefits in scalable data processing and analysis capabilities justify exploring in high-energy physics environments where the CMS experiment falls. However, given your specific interests, the lack of discussion on quantum computing, lattice gauge theory, and other advanced topics in high-energy physics makes the content somewhat less relevant, therefore the topic interest assessment is considered'medium'.",CMS,"['Hidden Sector Physics', 'Long Lived Particles', 'Python', 'Machine Learning', 'A.I in Particle Physics', 'ServiceX', 'Dask', 'Spark', 'Data Preservation', 'Fair Principles', 'Differentiable Programming']",2,Poster
2024-03-14,07:10:00 PM,,Celeritas: evaluating performance of HEP detector simulation on GPUs,"Monte Carlo detector simulation library Celeritas optimized for HL-LHC with both CPU and GPU support, showing notable performance gains in speed and throughput for EM-only and full simulation applications. Power efficiency is also improved by recent optimizations. Performance results indicate significant GPU throughput on current and future hardware compared to CPU cores. Demonstrated power efficiency makes it attractive for future complex simulations, potentially leading to more accurate data in high-energy physics experiments.",ATLAS,"['HPE detector simulation', 'GPU acceleration', 'Monte Carlo', 'EM physics', 'Geant4 integration']",3,Poster
2024-03-14,07:10:00 PM,,Performance of the Gaussino CaloChallenge-compatible infrastucture for ML-based fast simulation in the LHCb Experiment,"We introduce a new component for the Gaussino simulation framework integrating ML-based fast simulation of calorimeter showers, supporting Gaudi for scheduling and utilizing ML models from CaloChallenge, showcasing a production-ready VAE electromagnetic shower model for LHCb's calorimeter.",LHCb,"['Gaussino', 'Fast simulation', 'ML-based', 'Gaudi', 'CaloChallenge', 'Electromagnetic shower', 'Vartiational Autoencoder', 'VAE', 'LHCb calorimeter']",3,Poster
2024-03-14,07:10:00 PM,,"columnflow: Fully automated analysis through flow of columns over arbitrary, distributed resources","columnflow facilitates fully-automated large-scale HEP analysis with Python, allowing for distributed computing and data stewardship across different systems and computing resources, promoting research progress efficiency and collaborations in the field of particle physics. It offers advanced technical benefits with no specific mention of underlying research or the nature of experiments being analyzed, such as whether they involve long-lived particles or any mention of exotic, rare particle physics processes or their connection to Hidden Sector Physics or any specific particles or events relevant to my interests (which I cannot infer from this abstract alone).",,"['columnflow', 'HEP analysis', 'distributed computing', 'automation', 'Python', 'Large data flow', 'analysis workflow']",2,Poster
2024-03-14,07:10:00 PM,,Porting and optimizing the performance of LArTPC Detector Simulations with C++ standard parallelism,"Porting LArTPC Detector Simulations with C++ standard parallelism explores the use of C++ standard parallelism in HEP workflows, specifically focusing on LArTPC simulation optimization. The conference talks about performance portability across different computing architectures using various programming models and examines std::par's usability and efficiency in HEP domain tasks. It draws comparison with existing models used in LArTPC simulations, discusses std::par's advantages and disadvantages, and addresses the experiences from optimizing kernels using std::par, specifically mentioning AMD and Intel GPUs' support recently supported on the standard library.",,"['C++ standard parallelism', 'Performance Portability', 'Computing Systems', 'LArTPC Detector', 'High Energy Physics', 'Computational Model']",2,Poster
2024-03-14,07:10:00 PM,,A Microbenchmark Framework for Performance Evaluation of OpenMP Target Offloading,"Presenting a Catch2 framework for OpenMP's target offload model micro-benchmarking in heterogeneous architectures. Benchmarks show varied impacts from compiler upgrades in popular supercomputers for physics applications optimization decisions. Compatibility with Python tools and machine learning concepts mentioned suggests a broader application of the framework. Not directly related to exotic particles or quantum computing, but helpful for analysis, distributed computing, and ensuring data preservation through performance evaluation.",Blank,['Microbenchmark Framework'],2,Poster
2024-03-14,07:10:00 PM,,"Easy columnar file conversions with ""odapt""","Easy and efficient Python package 'odapt' for handling fast columnar data file conversions with minimal coding and user-friendly features, supporting formats like ROOT and data compression via memory management, including merging ROOT files among others using h5py, Uproot, Awkward, and dask-awkward. High utility in data preservation under FAIR principles as part of distributed computing solutions.",Blank,"['Python Dataframe', 'Data Preservation', 'FAIR principles']",3,Poster
2024-03-13,07:15:00 PM,,"HPC, HTC and Cloud: converging toward a seamless computing federation with interLink","This talk introduces the interLink project that unifies HPC, HTC, and cloud computing through the use of Kubernetes API primitives to facilitate the management of containerized workflow across diverse hardware environments, with examples such as EuroHPC Vega integration. It's aimed at building robust Digital Twin platforms within EU interTwin framework and showcases early Kubernetes-based computing capabilities extensions across heterogeneous providers.",,"['HPC', 'HTC', 'Cloud Computing', 'Kubernetes', 'Digital Twin', 'Virtual-Kubelet', 'EuroHPC Vega']",2,Poster
2024-03-13,07:15:00 PM,,RTDP: Streaming Readout Real-Time Development and Testing Platform,"Presents the RTDP, a platform developed at JLab for SRO in particle physics designed for simulations and testing to expedite the development process for new experiments. Aims to allow for rapid prototyping with varied algorithm simulations and executions on different hardware configurations before large investments are made. Includes ML/AI and high throughput computing capabilities for swift data processing and analysis. The talk covers reconstruction frameworks and data handling for efficient streamed reads and analysis in particle physics experiments – all valuable for experimental physics workflows and rapid development environments. Although it doesn't directly reference Machine Learning and AI for particle physics in a deeper sense, the mention of ML and high throughput computing implies an element of applicability in that field. Despite the abstract's core focus on technological development for experiment readout systems, its broader implication aligns with AI use and could be tangentially beneficial for analysis techniques in particle physics. Hence, one should scrutinize the presentation's specifics and implications concerning ML/AI in particle experiments to fully gauge its consonance with the provided areas of interest in a domain like particle physics. Potential direct links between the talk's themes and SRO's relation to machine learning aspects like feature generation from data streams, training models on experimental data, and applying such models for real-time detection or classification, are conceivable if the talk's content ventures into these specific applications.
",,"['Real-Time Development', 'Simulation and Execution Components', 'Streaming Readout (SRO),', 'Artificial Intelligence/Machine Learning', 'Heterogeneous and High Throughput Computing (HTC)']",2,Poster
2024-03-13,07:15:00 PM,,Hydra: Computer Vision for Data Quality Monitoring,"Hydra streamlines ML-based real-time data quality tracking for shifts. It simplifies lab data plot supervision and analysis via a web-driven GUI, enabling large-scale labeling. Development origin was the GlueX Experiment, with aims to extend system capabilities and tackle deployment challenges across multiple laboratory sites.",GlueX,"['Machine Learning', 'Data Quality Monitoring', 'Web Interface', 'Labeling Systems', 'Dataset Inference', 'GradCAM Interpretation']",2,Poster
2024-03-13,07:15:00 PM,,Scalable GNN Training for Track Finding,"Scalable GNN for particle track finding leveraging distributed data parallelism. Studies distributed parallel training effects on accuracy on TrackML dataset using NERSC GPU nodes, looking to find optimal balance of accuracy and training time reductions. Not focused on Long Lived Exotic Particles, Neutrino Physics, or Distributed computing specifically within HEP community (excluding ServiceX context), and no mention of Quantum Computing/Lattice Gauge Theory, as well as not related to Machine Learning or AI, Data Preservation, or Differentiable Programming techniques in general context outside GNN application.",,"['Graph Neural Networks (GNNs)', 'Particle Tracking', 'Distributed Data Parallelism', 'Machine Learning and AI for HEP', 'Compute Performance', 'NVIDIA CUDA', 'TrackML Dataset']",1,Poster
2024-03-13,07:15:00 PM,,Awkward Family: expanding functionality through interrelated Python packages,"Explores Python packages for particle physics, emphasizing separation of stable components from experimental add-ons for better maintainability. Showcases diverse array of tools facilitating a variety of uses including distributed computing and framework interoperability, aiming to enhance the functionality and usability of standard packages whilst balancing innovation and stability in the field of computational particle physics.",,"['Python', 'Particle Physics', 'Data Analysis', 'Array Operations', 'Dataframe/RDF Interface', 'Distributed Computing', 'Machine Learning', 'Data Preservation', 'PACKAGE MANAGEMENT', 'SciPy Development']",3,Poster
2024-03-13,07:15:00 PM,,Optimal XCache deployment for the CMS experiment in Spain,"Evaluating the CMS experiment data cache deployment for enhanced LHC computing needs in Spain after LHC upgrade, which includes popularity studies and simulations for optimal cache requirements",CMS,"['Hadron Collider', 'LHC computing grid', 'data caching', 'content delivery networks', 'compute resources', 'remote data access', 'optimisation', 'cache requirements', 'Spanish compute facilities', 'user analysis tasks']",3,Poster
2024-03-13,07:15:00 PM,,Paving the Way for HPC: An XRootD-Based Approach for Efficiency and Workflow Optimizations for HEP Jobs on HPC Centers,"This presentation deals with optimizing HEP workflows for heterogeneous HPC centers by developing an XRootD-based solution to increase data transfer efficiency and CPU utilization, as evidenced by improvements at the HoreKa center. The talk aligns with the German HEP computational strategy for sustainable and efficient data processing and analysis in an expected data-intensive HL-LHC era environment. The implementation utilizes a transfer node to act as a buffer, improving stable performance and workload utilization within HEC’s diverse infrastructure challenges.",LHCb,"['Physics Computing', 'HPC', 'Data Transfers', 'Performance Analysis', 'HEP', 'XROOTD', 'Data Efficiency']",3,Poster
2024-03-13,07:15:00 PM,,Optimizing Resource Provisioning Across Diverse Computing Facilities with Virtual Kubelet Integration,"Abstract of a novel approach for flexible and efficient resource management across diverse computing facilities to cope with varying demands, using userspace Kubernetes integration to maximize resource use while maintaining operational security, as a part of the JIRIAF project for high-energy physics research infrastructure interoperability and integration. Less than 200 characters. 'JLAB Integrating Research Infrastructure Across Facilities (JIRIAF)'",,"['Kubernetes', 'resource management', 'virtual kubelet', 'opportunistic compute provisioning', 'distributed computing', 'resource utilization']",1,Poster
2024-03-13,07:15:00 PM,,"The Good, The Bad, and the Ugly: A Tale of Physics, Software, and ML",Exploring software modernization with RNN and Machine Learning for long lived particle discrimination in ATLAS; integration and systematics.,ATLAS,"['Hidden Sector Physics', 'Long Lived Particles (RPV SUSY)', 'analysis techniques', 'Machine Learning', 'ServiceX tool', 'Distributed Computing for analysis']",3,Poster
2024-03-13,07:15:00 PM,,Lamarr: implementing a flash-simulation paradigm at LHCb,"Lamarr provides an innovative flash-simulation approach to handle demands at LHCb by reducing simulation times and resource requirements significantly, utilizing deep generative models and machine learning techniques. A substantial computational cost reduction in detector modeling is anticipated for the run 3 of LHCb simulations with this new framework. No more than 200 characters:",LHCb,"['Machine Learning', 'Deep Generative Models', 'Computational Physics', 'LHCb Simulation', 'Detector Modeling', 'Flash-Simulation']",3,Poster
2024-03-13,07:15:00 PM,,Retrieval Augmented Generation for Particle Physics: A Case Study with the Snowmass White Papers and Reports,"Exploring Large Language Models and Retrieval Augmented Generation with Snowmass reports for answering questions in particle physics, focusing on information accessibility and usefulness of the generated answers. Indexing and evaluating model performance as well as potential applications are explored without referring to the title of this talk.",Blank,"['Large Language Models', 'Retrieval Augmented Generation', 'Snowmass Community Planning Process', 'Particle Physics Information Accessibility', 'Document Retrieval Techniques', 'QA and NLP applications in Physics']",2,Poster
2024-03-13,07:15:00 PM,,"ServiceX, the novel data delivery system, for physics analysis",Overview of ServiceX for efficient data access in physics analysis,,"['hidden sector physics', 'long lived particles', 'python data analysis', 'machine learning', 'distributed computing', 'data preservation FAIR principles', 'differentiable programming']",3,Poster
