Date,Time,Room,Title,Summary,Experiment,Keywords,Interest,Type,Confidence,Unknown Terms
2024-06-03,01:00:00 PM,Blackman Auditorium,Search for rare Higgs boson decays and BSM Higgs (25'+5'),The presentation discusses the search for rare decays of the Higgs boson and potential beyond the Standard Model (BSM) Higgs phenomena.,,"['Higgs boson', 'rare decays', 'BSM physics']",1,,0.6,[]
2024-06-07,06:30:00 AM,Blackman Auditorium,The Dynamics of Disease: the role of particle diffusion-reactions models in Epidemic Response (25'+5'),"The speaker discusses statistical and numerical simulation methods to model disease spread, collaborating with health organizations for epidemic response.",,"['disease modeling', 'statistical methods', 'epidemic response', 'simulation', 'network science']",1,,0.9,[]
2024-06-07,08:36:00 AM,,(pro)ANUBIS,No abstract provided to summarize.,,[],1,,0.1,[]
,,,(pro)ANUBIS,No abstract provided to summarize.,,[],1,,0.1,[]
,,,Hike/Shadows,"The abstract is not provided, making it impossible to assess its content or relevance to my interests.",,[],1,,0.0,[]
2024-06-04,08:18:00 AM,,On electroweak corrections to neutral current Drell–Yan,The abstract discusses electroweak corrections relevant to neutral current Drell–Yan processes.,,"['electroweak corrections', 'Drell–Yan', 'neutral current']",1,,0.7,[]
2024-06-05,11:36:00 AM,,Searches for BSM in top final states in CMS,The talk likely focuses on searches for Beyond Standard Model (BSM) physics in top quark final states using data from the CMS experiment.,CMS,"['BSM', 'top quark', 'searches', 'CMS']",1,,0.6,[]
2024-06-05,11:18:00 AM,,Searches for BSM in top final states in ATLAS,The presentation likely discusses searches for beyond standard model (BSM) physics in top quark final states using data from the ATLAS experiment.,ATLAS,"['BSM', 'top quarks', 'ATLAS', 'physics']",1,,0.6,[]
2024-06-05,11:00:00 AM,,BSM from the Top,"The abstract discusses physics beyond the Standard Model, focusing on aspects related to top quarks.",,"['BSM', 'top quarks', 'exotic physics']",1,,0.3,[]
2024-06-05,11:00:00 AM,,Heavy-flavor production and hadronization at the LHC: experimental status and perspectives from LHC experiments,"The presentation focuses on heavy-flavor production and hadronization in LHC experiments, discussing current experimental status and future perspectives.",LHC,"['heavy-flavor', 'hadronization', 'LHC', 'experimental status', 'perspectives']",1,,0.6,[]
,,,MoEDAL-MAPP results and upgrades,"The presentation likely discusses results and upgrades related to the MoEDAL-MAPP experiment, focusing on particle detection and analysis techniques.",MoEDAL,"['MoEDAL', 'MAPP', 'particle physics', 'detectors', 'analysis techniques']",2,,0.5,[]
2024-06-05,11:54:00 AM,,MoEDAL-MAPP results and upgrades,"The presentation likely discusses results and upgrades related to the MoEDAL-MAPP experiment, focusing on particle detection and analysis techniques.",MoEDAL,"['MoEDAL', 'MAPP', 'particle physics', 'detectors', 'analysis techniques']",2,,0.5,[]
2024-06-04,08:36:00 AM,,Non-resonant di-Higgs searches and measurements with the CMS detector,The talk likely covers searches for di-Higgs production focusing on non-resonant events using data from the CMS detector.,CMS,"['di-Higgs', 'searches', 'CMS', 'non-resonant']",1,,0.5,[]
2024-06-04,08:18:00 AM,,Non-resonant di-Higgs searches and measurements with the ATLAS detector,"The presentation likely focuses on searching for di-Higgs production events using the ATLAS detector, analyzing their rates and properties.",ATLAS,"['di-Higgs', 'ATLAS', 'measurements', 'searches']",1,,0.6,[]
2024-06-04,09:30:00 AM,,"Higgs propery measurements (mass, width, CP) with the CMS detector","The presentation focuses on measurements related to the Higgs boson, including its mass, width, and CP properties using data from the CMS detector.",CMS,"['Higgs boson', 'mass measurement', 'width measurement', 'CP properties', 'CMS detector']",1,,0.7,[]
2024-06-04,09:12:00 AM,,"Higgs property measurements (mass, width, CP) with the ATLAS detector","The presentation focuses on measuring Higgs properties such as mass, width, and CP using the ATLAS detector.",ATLAS,"['Higgs', 'mass', 'width', 'CP', 'ATLAS']",1,,0.7,[]
2024-06-07,08:54:00 AM,,SHiP,"The abstract for the SHiP experiment is not provided, making it difficult to assess its content and relevance.",SHiP,[],1,,0.1,[]
2024-06-07,08:18:00 AM,,PPS at the HL-LHC,"The talk likely discusses the forward physics program at the High-Luminosity LHC, focusing on precision measurements and new physics searches.",CMS,"['HL-LHC', 'forward physics', 'precision measurements', 'new physics']",1,,0.6,[]
2024-06-07,08:00:00 AM,,Forward Physics Facility: Proposed Experiments and Prospects,"The abstract discusses proposed experiments and prospects related to forward physics, likely involving high-energy particle collisions.",,"['forward physics', 'experiments', 'prospects']",1,,0.8,[]
2024-06-05,12:12:00 PM,,CODEX-b($\beta$),The abstract does not provide specific details on the content or focus of the presentation.,,[],1,,0.1,[]
2024-06-05,11:36:00 AM,,milliQan + FORMOSA,"The abstract is not provided, making it difficult to assess the content or relevance.",,[],1,,0.0,[]
2024-06-05,11:18:00 AM,,SND@LHC upgrades,"The abstract is not provided, making it difficult to assess the content of the talk.",,[],1,,0.1,[]
2024-06-05,11:00:00 AM,,FASER upgrades,"The abstract does not provide specific details about the FASER upgrades, making it difficult to assess its relevance.",FASER,"['FASER', 'upgrades', 'particle physics']",1,,0.2,[]
2024-06-05,09:30:00 AM,,Higgs boson coupling measurements in ATLAS,The talk likely covers measurements related to Higgs boson couplings using the ATLAS experiment data.,ATLAS,"['Higgs boson', 'coupling measurements', 'ATLAS']",1,,0.7,[]
2024-06-05,09:12:00 AM,,Higgs boson coupling measurements in CMS,The presentation focuses on measurements of Higgs boson couplings using data from the CMS experiment.,CMS,"['Higgs boson', 'coupling measurements', 'CMS']",1,,0.8,[]
2024-06-05,08:54:00 AM,,ZH production in SMEFT from ggF,The abstract discusses the production of ZH in the context of the Standard Model Effective Field Theory (SMEFT) using gluon-gluon fusion (ggF).,,"['ZH production', 'SMEFT', 'ggF']",1,,0.7,[]
2024-06-05,08:36:00 AM,,Uniqueness of the matching in the HEFT,"The abstract discusses the uniqueness of the matching in the Higgs Effective Field Theory (HEFT), but lacks specific details.",,"['Higgs Effective Field Theory', 'matching', 'HEFT']",1,,0.2,[]
2024-06-05,08:18:00 AM,,Higgs differential measurements and EFT interpretation in ATLAS,The presentation discusses differential measurements of the Higgs boson and their interpretation using Effective Field Theory (EFT) within the ATLAS experiment.,ATLAS,"['Higgs', 'differential measurements', 'EFT', 'ATLAS']",1,,0.6,[]
2024-06-05,08:00:00 AM,,Higgs differential measurements and EFT interpretation in CMS,The talk likely discusses Higgs boson measurements and their interpretation using Effective Field Theory (EFT) within the CMS experiment.,CMS,"['Higgs', 'EFT', 'CMS', 'differential measurements']",1,,0.7,[]
2024-06-04,08:54:00 AM,,Light Yukawa couplings from H* production,The abstract discusses the production of H* and its implications for Yukawa couplings.,,"['Yukawa couplings', 'H* production']",1,,0.3,[]
2024-06-04,08:00:00 AM,,NLO EW corrections to HH production,The presentation discusses next-to-leading order electroweak corrections to Higgs pair production.,,"['Higgs', 'electroweak', 'NLO', 'production', 'corrections']",1,,0.7,[]
,,,Rare and forbidden decays at LHCb,"The talk likely focuses on rare and forbidden particle decays observed at the LHC, discussing their implications and relevance in particle physics.",LHCb,"['rare decays', 'forbidden decays', 'LHCb', 'particle physics']",1,,0.4,[]
,,,Rare and forbidden decays,"The presentation focuses on decays that are rare or forbidden in particle physics, exploring their implications and significance.",,"['rare decays', 'forbidden decays', 'particle physics']",1,,0.4,[]
,,,LFU measurements and flavour anomalies at LHCb,The presentation focuses on measurements of lepton flavour universality and potential flavour anomalies observed at the LHCb experiment.,LHCb,"['LFU', 'flavour anomalies', 'LHCb', 'particle physics']",1,,0.6,[]
,,,Status of the global $b \to s \ell \ell$ fits,The presentation discusses the current status of global fits in the b to s lepton lepton decay process.,,"['b to s transitions', 'lepton flavor', 'global fits']",1,,0.3,[]
,,,LFV and related rare decays at Atlas and CMS,"The presentation likely discusses lepton flavor violation and rare decays, focusing on findings from ATLAS and CMS experiments.","ATLAS, CMS","['LFV', 'rare decays', 'ATLAS', 'CMS']",1,,0.3,[]
,,,Exclusive four pion photoproduction in ultra-peripheral Pb–Pb collisions at √sNN = 5.02 TeV at ALICE,"The study examines exclusive four pion photoproduction in ultra-peripheral Pb–Pb collisions, measuring the cross section and analyzing resonance interference.",ALICE,"['photonuclear interactions', 'ultra-peripheral collisions', 'resonance production', 'π+π−π+π− final states']",1,,0.7,[]
,,,Diversity and Inclusion Efforts in CMS,The CMS Diversity and Inclusion Office focuses on enhancing the collaborative working environment through demographic data analysis and equitable practices.,CMS,"['Diversity', 'Inclusion', 'Collaboration', 'Equitable Practices', 'Research Environment']",1,,0.8,[]
,,,A Search for Hadronic Decays of Vector-like Quarks in CMS,The presentation discusses a search for vector-like quarks decaying hadronically using a neural-net-based jet tagger in CMS data from Run 2.,CMS,"['vector-like quarks', 'hadronic decays', 'jet tagging', 'neural networks', 'multi-jet backgrounds']",1,,0.7,[]
,,,"Search for pair production of vector like tops, each decaying to a top and a new scalar","This work presents a search for vector-like tops decaying into Standard Model tops and new scalars, focusing on a diphoton decay signature.",CMS,"['vector-like tops', 'scalar', 'LHC', 'diphoton decay', 'top quark']",2,,0.7,[]
,,,Imaging the Wake of a Jet with Energy Correlators,"This work investigates the three-point correlation function for jets modified by the quark gluon plasma, aiming to map the medium's impact on jet structure.","ALICE, CMS, STAR","['heavy ion collisions', 'quark gluon plasma', 'energy correlators', 'jets', 'correlation functions']",1,,0.7,[]
,,,Search for light scalars decaying to two tau leptons at high transverse momentum at CMS,"The search investigates light scalars decaying to two tau leptons using CMS data, employing novel machine-learning techniques for analysis.",CMS,"['light scalars', 'tau leptons', 'machine learning', 'Higgs boson', 'LHC']",2,,0.7,[]
,,,Search for low mass vector and scalar resonances decaying into quark-antiquark pairs in proton-proton collisions using the CMS Run 2 dataset,"The analysis searches for low-mass vector and scalar resonances decaying into quark-antiquark pairs using CMS Run 2 data, focusing on large-radius jets and particle identification.",CMS,"['low-mass resonances', 'vector resonances', 'scalar resonances', 'quark-antiquark pairs', 'LHC', 'CMS Run 2', 'ParticleNet']",1,,0.7,[]
,,,Measurement of the cross section for inclusive isolated-photon production in pp collisions at 13 TeV,"The study presents measurements of isolated-photon production at 13 TeV, focusing on differential cross sections and isolation criteria using the ATLAS detector.",ATLAS,"['isolated-photon', 'differential cross section', 'pp collisions', 'ATLAS', 'LHC']",1,,0.8,[]
,,,Inclusive and differential cross-sections measurements in the single top tW e-mu channel with CMS at Run 3,"Measurements of inclusive and differential cross sections for single top quark production with a W boson are presented, focusing on events with one muon and one electron.",CMS,"['single top quark', 'cross sections', 'W boson', 'proton-proton collisions', 'multivariate analysis', 'QCD']",1,,0.7,[]
,,,The PicoCal calorimeter of LHCb Upgrade II,The PicoCal calorimeter upgrade for LHCb focuses on improving energy resolution and occupancy management in high radiation environments through advanced design and technology.,LHCb,"['calorimeter', 'upgrade', 'energy resolution', 'occupancy', 'radiation dose', 'simulation', 'R&D']",1,,0.4,[]
,,,Encoding collider events with pre-trained jet models,"The study presents a method using pre-trained jet models for improved event-level analysis at the LHC, enhancing signal-background discrimination.",LHC,"['jet models', 'deep learning', 'event-level analysis', 'Higgs signatures', 'background rejection']",3,,0.85,[]
,,,Search for weak production and strong decay of wino/bino-like superpartners,"The talk presents a search for superpartner particles via weak production and strong decay channels at the LHC, focusing on R-parity violating interactions.",CMS,"['supersymmetry', 'superpartners', 'R-parity violation', 'electroweak', 'LHC']",2,,0.7,"['wino', 'bino', 'chargino', 'neutralino']"
,,,Search for Supersymmetry in single lepton events and reinterpretation in the pMSSM-19 framework,"This presentation discusses a search for supersymmetry in single lepton events, utilizing machine learning for signal-background differentiation and reinterpretation in the pMSSM-19 framework.",CMS,"['Supersymmetry', 'Single Lepton Events', 'Machine Learning', 'pMSSM-19', 'LHC']",2,,0.7,[]
,,,Observation of WWγ production and search for Hγ production in proton-proton collisions at sqrt(s) = 13 TeV,"The presentation discusses the observation of WWγ production and searches for Hγ production in proton-proton collisions at 13 TeV, highlighting cross-section measurements and Higgs coupling constraints.",CMS,"['WWγ production', 'Hγ production', 'Higgs boson', 'proton-proton collisions', 'cross section']",1,,0.8,[]
,,,Search for long-lived particles decaying to a pair of muons in proton-proton collisions at sqrt(s) = 13.6 TeV with 2022 data,"This search focuses on long-lived particles decaying to displaced muons in 13.6 TeV proton-proton collisions, using 2022 CMS data and improving previous results.",CMS,"['long-lived particles', 'displaced muons', 'hidden sector', 'R-parity violating SUSY', 'data analysis']",3,,0.9,[]
,,,Search for t-channel leptoquark production in the high mass dilepton spectrum,"This study investigates leptoquark production via Drell-Yan processes using CMS data, focusing on high mass dilepton states and presenting exclusion limits on Yukawa couplings.",CMS,"['leptoquark', 'Drell-Yan', 'high mass dilepton', 'Yukawa couplings']",1,,0.7,[]
,,,Calibration of Flavour Tagging Algorithms at the CMS Experiment - Run Ⅲ Results and Innovations,"This presentation discusses the calibration of flavour tagging algorithms at CMS, highlighting improvements and machine learning applications for better precision in measurements.",CMS,"['flavour tagging', 'calibration', 'machine learning', 'High-Energy Physics']",2,,0.7,[]
,,,Performance analysis of phase 2 Tracker upgrade Ps Module before and after irradiation,"The talk presents the performance analysis of a PS-Module in the CMS experiment, focusing on its tracking capability before and after irradiation in high luminosity conditions.",CMS,"['High Luminosity LHC', 'tracker upgrade', 'silicon sensors', 'tracking information', 'irradiation']",1,,0.7,[]
,,,The challenges of the HL-LHC for the Full and Fast Simulation of the CMS Experiment,"The presentation discusses Full and Fast Simulation advancements for the CMS experiment in light of the HL-LHC challenges, emphasizing machine learning applications.",CMS,"['Monte Carlo Simulation', 'Full Simulation', 'Fast Simulation', 'HL-LHC', 'machine learning', 'Geant4']",2,,0.65,[]
,,,System testing of the CMS Endcap MIP Timing Layer,The CMS detector's upgrade with a MIP timing detector aims to improve particle tracking in high pileup conditions at the HL-LHC.,CMS,"['MIP timing detector', 'high luminosity LHC', 'timing measurements', 'low gain avalanche diodes', 'ETROC']",1,,0.6,[]
,,,Open Data at ATLAS: Bringing TeV collisions to the World,"The ATLAS Open Data initiative provides accessible proton-proton collision data for education, along with tools and resources for analysis and visualization.",ATLAS,"['Open Data', 'Education', 'Data Visualization', 'Proton-Proton Collisions']",1,,0.7,[]
,,,Fostering Inclusivity in High Energy Physics: A Focus on LGBTQ+ Empowerment,This presentation discusses the LGBTQ+ CERN group's efforts to create an inclusive environment in high energy physics and their initiatives to support LGBTQ+ individuals.,,"['diversity', 'LGBTQ+', 'inclusivity', 'CERN', 'community support']",1,,0.2,[]
,,,"CSC Calibration Constants and Validation Using 2022 run results, VTRx performance","The work focuses on calibrating electronic constants and validating data reconstruction from CSC, including performance studies of VTRx.",,"['calibration', 'data reconstruction', 'VTRx performance', 'conditions data']",1,,0.8,[]
,,,Engaging the Public – ATLAS Digital Communication,The presentation discusses ATLAS's strategies for digital communication and audience engagement through various platforms.,ATLAS,"['communication', 'digital platforms', 'audience engagement', 'ATLAS']",1,,0.7,[]
,,,Displaced Vertex Track Trigger for the CMS Phase-2 Upgrade,The talk discusses a feasibility study for a track trigger in CMS to identify long-lived particles through displaced vertex information using machine learning.,CMS,"['long-lived particles', 'displaced vertex', 'track trigger', 'machine learning', 'CMS Phase-2 upgrade']",3,,0.9,[]
,,,Studies of resonant di-Higgs production in the bbZZ final state.,"This study explores resonant di-Higgs production via RS1 KK graviton, RS1 radion, and NMSSM, focusing on signal separation using a parametrized BDT method.",CMS,"['Higgs boson', 'di-Higgs production', 'resonance', 'signal separation', 'TMVA', 'BDT']",1,,0.7,[]
,,,Search for leptoquark production in decays containing a muon and a bottom quark,"This work reports on a search for leptoquark production in muon and bottom quark decays, excluding masses below specific thresholds and exploring future analysis techniques.",CMS,"['leptoquarks', 'muons', 'bottom quark', 'LHC', 'search techniques']",1,,0.6,[]
,,,Displaced Vertex Track Trigger for the CMS Phase-2 Upgrade,The talk discusses a feasibility study for a track trigger in CMS to identify long-lived particles through displaced vertex information using machine learning.,CMS,"['long-lived particles', 'displaced vertex', 'track trigger', 'machine learning', 'CMS Phase-2 upgrade']",3,,0.9,[]
,,,"Evolution of Regional, Age and Gender Demographics in the ATLAS Collaboration","The demographics of the ATLAS Collaboration are analyzed, focusing on regional, age, and gender aspects, along with their evolution over time.",ATLAS,"['demographics', 'gender', 'collaboration', 'ATLAS']",1,,0.7,[]
,,,"Engaging the Classroom – Colouring Books, Printables, Masterclasses, and More",The ATLAS Collaboration has created educational materials to engage students with particle physics through various activities and resources.,ATLAS,"['Education', 'Outreach', 'Particle Physics', 'Engagement', 'LHC']",1,,0.8,[]
,,,Precision Alignment of the CMS Electromagnetic Calorimeter,"The presentation discusses the precision alignment of the CMS electromagnetic calorimeter, detailing the alignment process and automation efforts in Run 3.",CMS,"['electromagnetic calorimeter', 'alignment', 'CMS', 'data analysis', 'Run 3']",1,,0.7,[]
,,,Long-Lived Particle Triggering with the CMS Hadron Calorimeter,"The presentation discusses a new trigger for long-lived particles using upgrades in the CMS Hadron Calorimeter, enhancing sensitivity to LLP signatures.",CMS,"['Long-Lived Particles', 'Triggering', 'Hadron Calorimeter', 'Physics Beyond Standard Model']",3,,0.9,[]
,,,Heavy neutral lepton searches with the CMS experiment,"The presentation discusses searches for heavy neutral leptons in proton-proton collisions, focusing on both short-lived and long-lived scenarios, improving exclusion limits on HNL mixing parameters.",CMS,"['heavy neutral leptons', 'HNL', 'search strategy', 'long-lived particles', 'charged lepton']",2,,0.7,[]
,,,b-hive: a modern start-to-finish flavor tagging framework,"The b-hive framework integrates modern tools for flavor tagging in HEP, enhancing dataset handling, model training, and reproducibility using Python packages.",CMS,"['flavor tagging', 'deep learning', 'HEP', 'Python', 'ROOT', 'modularity', 'reproducibility']",3,,0.9,[]
,,,Engaging the World – The Popular ATLAS Detector Visit and Virtual Visit Programmes,The ATLAS Collaboration offers popular guided and virtual visits to engage audiences worldwide with their detector and research.,ATLAS,"['public engagement', 'virtual visits', 'CERN', 'collaboration', 'detector tours']",1,,0.8,[]
,,,ILC as a Higgs Factory,"The presentation discusses measurements in the Higgs sector at the ILC, focusing on Higgs properties, exotic interactions, and global fits.",,"['Higgs', 'Standard Model', 'exotic interactions', 'CP violation', 'trilinear self-coupling']",1,,0.3,[]
,,,Review of top quark mass measurements in CMS,"The presentation reviews top quark mass measurements from CMS, highlighting direct and indirect methods using LHC data, including promising results from Lorentz-boosted top quarks.",CMS,"['top quark', 'mass measurements', 'LHC', 'CMS', 'analytical techniques']",1,,0.8,[]
,,,Search for a resonance decaying to a scalar and a Higgs boson in the final state with two bottom quarks and two photons in proton-proton collisions at 13 TeV,"This presentation discusses a search for a heavy scalar decaying into a Higgs boson and a lighter scalar, using neural networks for signal enhancement.",ATLAS,"['resonance', 'scalar', 'Higgs boson', 'neural networks', 'LHC', 'signal purity']",1,,0.6,[]
,,,Flavour Tagging with Graph Neural Network with the ATLAS Detector,"The work presents a novel graph neural network approach for flavour tagging in the ATLAS experiment, enhancing performance while simplifying the method.",ATLAS,"['flavour tagging', 'graph neural networks', 'machine learning', 'jet flavour identification', 'Higgs tagging']",2,,0.6,[]
,,,Search for vector-like electrons and muons in multilepton final states in pp collisions at 13 TeV with the ATLAS detector,This work presents a search for vector-like electrons and muons in multilepton final states using deep neural networks to categorize events and constrain backgrounds.,ATLAS,"['vector-like leptons', 'LHC', 'deep neural networks', 'multilepton final states', 'signal regions']",1,,0.6,[]
,,,Search for dark mesons decaying to top and bottom quarks with the ATLAS detector,"The presentation discusses a search for dark mesons decaying into SM final states using the ATLAS detector, exploring a new Dark Sector model.",ATLAS,"['Dark Matter', 'Dark Sector', 'dark mesons', 'top quarks', 'bottom quarks', 'collider physics']",3,,0.85,"['dark rhos', 'dark pions', 'gaugephobic decay']"
,,,Exploring Dark Sectors Using Dilepton Resonances,"The study investigates exotic decays with lepton final states as indicators of interactions with dark sectors, focusing on ATLAS data and sensitivity to hidden valleys.",ATLAS,"['dark sectors', 'exotic decays', 'dilepton resonances', 'Higgs decay', 'ATLAS search']",3,,0.9,[]
,,,"Searching for long-lived, highly ionizing massive particles with the ATLAS detector","The analysis investigates heavy, charged, long-lived particles using ionization energy loss measurements from the ATLAS detector, focusing on pair-production limits for BSM particles.",ATLAS,"['long-lived particles', 'ionization energy loss', 'massive particles', 'BSM physics']",3,,0.95,[]
,,,Kinematic description for Ridge behavior in small systems,"This study proposes a kinematic model to explain Ridge behavior in high-multiplicity proton-proton collisions, focusing on jet particle interactions with medium partons.",,"['Ridge behavior', 'kinematic model', 'jet particles', 'medium partons', 'proton-proton collisions', 'cross-section']",1,,0.7,[]
,,,Dark Matter from Anomaly Cancellation at the LHC,The poster discusses a model with a new local U(1)_{B} gauge symmetry that predicts dark matter candidates and explores their experimental constraints from LHC measurements.,LHC,"['dark matter', 'baryon number', 'anomaly cancellation', 'LHC', 'new particles']",1,,0.5,[]
,,,Combination of searches for resonant Higgs boson pair production in the ATLAS experiment,"The study combines searches for resonant Higgs boson pair production, analyzing various decay channels and setting upper limits on production cross sections.",ATLAS,"['Higgs boson', 'resonant production', 'ATLAS', 'cross section', 'Two-Higgs-Doublet Model', 'MSSM']",1,,0.8,[]
,,,Measurement of the Invisible Width of the Z Boson with the ATLAS Detector,This work presents a precise measurement of the Z boson decay into invisible particles using data from the ATLAS detector.,ATLAS,"['Z boson', 'invisible particles', 'decay width', 'ATLAS', 'LHC']",1,,0.7,[]
,,,Enhancing Prompt Lepton Identification: Development and Optimization of the PLIT Tagger,"The PLIT Tagger is optimized for identifying prompt muons from W and Z boson decays, utilizing new features and machine learning for better discrimination.",ATLAS,"['lepton identification', 'machine learning', 'Run-3', 'tagger optimization', 'electroweak bosons']",2,,0.7,[]
,,,Muon Momentum Calibration in ATLAS,"The talk discusses the muon momentum calibration process within the ATLAS experiment, focusing on precision measurements using di-muon resonances.",ATLAS,"['Muon Calibration', 'LHC', 'ATLAS', 'Momentum Measurement', 'Precision Physics']",1,,0.7,[]
