Date,Time,Room,Title,Summary,Url,Experiment,Keywords,Interest,Type,Confidence,Unknown Terms
2024-10-24,05:06:00,Room 2.A (Seminar Room),Canadian Belle-II Tier1 Raw Data Centre,"The talk discusses the Canadian Belle-II raw data storage and computing infrastructure, highlighting a disk-only storage solution and the use of VMs for data processing.",https://indico.cern.ch/event/1338689/contributions/6011608/,Belle-II,"['raw data', 'storage system', 'xrootd', 'ZFS', 'Virtual Machines']",1,Talk,0.4,[]
2024-10-24,04:48:00,Room 2.A (Seminar Room),Prévessin Data Centre Powers Up,"CERN's Prévessin Data Centre enhances computing capacity for the High-Luminosity LHC, detailing commissioning and operational processes for future expansion.",https://indico.cern.ch/event/1338689/contributions/6011587/,,"['Data Centre', 'High-Luminosity LHC', 'computing power', 'operations and maintenance', 'Service Provider']",1,Talk,0.7,[]
2024-10-24,04:30:00,Room 2.A (Seminar Room),Benchmarking OSDF services to develop XrootD best practices,"This work benchmarks OSDF services to understand XrootD limits for data sharing, focusing on transfer rates and configurations.",https://indico.cern.ch/event/1338689/contributions/6011893/,,"['OSDF', 'XrootD', 'data sharing', 'benchmarking', 'network']",2,Talk,0.6,[]
2024-10-21,08:45:00,Large Hall B,A Successful Data Centre Refurbishment Project,"QMUL refurbished its data centre to address cooling issues and energy efficiency for high luminosity LHC and new astronomy projects, discussing design and budget challenges.",https://indico.cern.ch/event/1338689/contributions/6011685/,,"['data centre', 'refurbishment', 'energy efficiency', 'high luminosity LHC', 'astronomy projects']",1,Talk,0.6,[]
2024-10-21,08:27:00,Large Hall B,Monitoring large-scale dCache installations with storage events using Kafka streams,"DESY monitors dCache storage systems using Kafka streams for operational diagnostics and predictive maintenance, integrating analytics and machine learning.",https://indico.cern.ch/event/1338689/contributions/6011635/,,"['dCache', 'Kafka', 'monitoring', 'data analysis', 'Apache Spark', 'machine learning']",2,Talk,0.6,[]
2024-10-21,08:09:00,Large Hall B,The Big Data Processing Infrastructure for monitoring and analysing the ATLAS experiment processing activities at INFN-CNAF Tier-1,The abstract discusses the development of a Big Data Platform for monitoring and analyzing ATLAS experiment processing activities at the INFN-CNAF Tier-1 facility.,https://indico.cern.ch/event/1338689/contributions/6011806/,ATLAS,"['Big Data', 'Data Processing', 'ATLAS', 'Monitoring', 'CNAF']",1,Talk,0.4,[]
2024-10-23,07:15:00,Large Hall B,"A Pilot Analysis Facility at CERN, Architecture, Implementation and First Evaluation",The presentation discusses a new Analysis Facility at CERN aimed at enhancing interactive data analysis through established services and resource allocation strategies.,https://indico.cern.ch/event/1338689/contributions/6010680/,,"['Analysis Facility', 'interactive analysis', 'HTCondor', 'SWAN', 'ROOT RDataFrame', 'Coffea', 'Dask']",2,Talk,0.6,[]
2024-10-24,06:33:00,Room 4,Integrating IPbus ALFRED into the ALICE-FIT setup,The talk discusses enhancements to the ALICE experiment's Fast Interaction Trigger (FIT) and integration with the ALFRED software for better detector performance.,https://indico.cern.ch/event/1338689/contributions/6081622/,ALICE,"['ALICE', 'Fast Interaction Trigger', 'ALFRED', 'IPbus', 'SCADA']",1,Poster,0.6,[]
2024-10-24,07:00:00,Room 4,Quantifying the computational speedup with MG4GPU for CMS workflows,"The presentation discusses the computational speedup from using MG4GPU for CMS workflows, showing significant improvements in event generation without compromising physics performance.",https://indico.cern.ch/event/1338689/contributions/6016407/,CMS,"['computational speedup', 'MG4GPU', 'CMS', 'event generation', 'Drell-Yan']",1,Poster,0.6,[]
2024-10-24,07:00:00,Room 4,MEASUREMENT OF PROPAGATION TIME WITH THE USE OF FPGA DEVICES IN ALICE EXPERIMENT AT CERN,"The work discusses the implementation of a time-to-digital converter using FPGA technology in the ALICE experiment, focusing on synchronization and phase-shifting techniques.",https://indico.cern.ch/event/1338689/contributions/6015456/,ALICE,"['FPGA', 'TDC', 'ALICE', 'synchronization', 'ISERDES']",1,Poster,0.7,[]
2024-10-24,07:00:00,Room 4,Adaptive Hough Transform for Charged Particles Tracking at the LHC,"The Adaptive Hough Transform (AHT) improves particle tracking efficiency while balancing memory usage, tested on muons and pile-up events at the LHC.",https://indico.cern.ch/event/1338689/contributions/6015435/,LHC,"['Adaptive Hough Transform', 'particle tracking', 'LHC', 'efficiency']",2,Poster,0.6,[]
2024-10-24,07:00:00,Room 4,Real-time Level-1 Trigger Data Scouting at CMS using CXL Memory Lake,The presentation discusses the integration of CXL-compliant shared memory into the CMS Level-1 Trigger for real-time data processing at the LHC.,https://indico.cern.ch/event/1338689/contributions/6015433/,CMS,"['Level-1 Trigger', 'CXL', 'data acquisition', 'real-time processing', 'shared memory']",1,Poster,0.6,"['CXL', 'Level-1 Data Scouting']"
2024-10-24,07:00:00,Room 4,A Cloud oriented platform to exploit ANSYS application,"The DARE project focuses on developing digital health solutions using cloud computing, integrating ANSYS software into a microservices-based environment for managing health data securely.",https://indico.cern.ch/event/1338689/contributions/6011873/,,"['Cloud Computing', 'Data Management', 'Microservices', 'ANSYS', 'Kubernetes', 'Nextflow', 'GDPR']",1,Poster,0.2,[]
2024-10-24,07:00:00,Room 4,LbMCSubmit: Streamlined production and submission of LHCb MC requests,LbMCSubmit simplifies the process of requesting Monte Carlo samples for the LHCb experiment by automating configuration generation and utilizing GitLab for submissions.,https://indico.cern.ch/event/1338689/contributions/6010990/,LHCb,"['Monte Carlo', 'simulation', 'DIRAC', 'GitLab', 'automation']",1,Poster,0.4,[]
2024-10-24,07:00:00,Room 4,GlideinBenchmark: collecting resource information to optimize provisioning,GlideinBenchmark is a tool to optimize resource selection for cloud computing in high-energy physics by benchmarking and automating resource provisioning.,https://indico.cern.ch/event/1338689/contributions/6010974/,,"['resource optimization', 'benchmarking', 'HEPCloud', 'GlideinWMS']",1,Poster,0.3,[]
2024-10-24,07:00:00,Room 4,Towards more efficient job scheduling in ALICE: predicting job execution time using machine learning,This work focuses on improving job scheduling in the ALICE experiment by predicting job execution times using machine learning techniques.,https://indico.cern.ch/event/1338689/contributions/6010972/,ALICE,"['job scheduling', 'machine learning', 'resource allocation', 'computational jobs', 'prediction accuracy']",2,Poster,0.6,[]
2024-10-24,07:00:00,Room 4,"FORM, a Fine-grained Object Reading/Writing Model for DUNE","DUNE is developing FORM, a fine-grained I/O framework to manage large trigger records by partitioning data into smaller segments for efficient processing and memory use.",https://indico.cern.ch/event/1338689/contributions/6010902/,DUNE,"['fine-grained I/O', 'data processing', 'memory management', 'trigger records']",1,Poster,0.6,[]
2024-10-24,07:00:00,Room 4,Operations Developments at the National Analysis Facility at DESY,The NAF at DESY provides computational resources for particle physics and addresses operational challenges in storage and monitoring systems.,https://indico.cern.ch/event/1338689/contributions/6010687/,,"['Compute Cluster', 'Data Storage', 'Monitoring', 'Operational Support', 'Security']",1,Poster,0.7,[]
2024-10-24,07:00:00,Room 4,Experiences from the CBM collaboration: CAD to ROOT conversion for detector geometries,"This work discusses successful efforts in converting CAD geometries to ROOT equivalents within the CBM collaboration, focusing on computational efficiency and geometry complexity.",https://indico.cern.ch/event/1338689/contributions/6010572/,CBM,"['CAD', 'ROOT', 'geometry', 'simulation', 'computational efficiency']",1,Poster,0.6,[]
2024-10-24,07:00:00,Room 4,Versioning of the LHCb DD4Hep-based Detector Description,"The work discusses versioning of detector descriptions for the LHCb experiment using DD4hep, emphasizing custom developments for managing different detector layouts.",https://indico.cern.ch/event/1338689/contributions/6010554/,LHCb,"['detector description', 'versioning', 'DD4hep', 'simulation', 'data processing']",1,Poster,0.7,[]
2024-10-23,07:00:00,Room 4,Simulation of a MPGD-based hadronic calorimeter for Muon Collider experiments,"The talk discusses a novel hadronic calorimeter design using MPGDs for Muon Collider experiments, addressing challenges of beam induced background and detector performance.",https://indico.cern.ch/event/1338689/contributions/6016212/,Muon Collider,"['Muon Collider', 'hadronic calorimeter', 'MPGD', 'Monte Carlo simulations', 'beam induced background']",1,Poster,0.6,[]
2024-10-23,07:00:00,Room 4,Di-Muon cocktail reconstruction using Machine Learning technique in CBM experiment at FAIR SIS100 energies,"This work uses machine learning to reconstruct di-muon spectra in AuAu collisions at 8 AGeV, focusing on low mass vector mesons from the CBM experiment.",https://indico.cern.ch/event/1338689/contributions/6016096/,CBM,"['Machine Learning', 'di-muon', 'low mass vector mesons', 'AuAu collisions', 'FAIR', 'TMVA']",2,Poster,0.7,[]
2024-10-23,07:00:00,Room 4,Data-flow parallelism for high-energy and nuclear physics frameworks,The talk covers the use of graph-based technologies for optimizing data-flow parallelism in high-energy and nuclear physics workflows at Fermilab.,https://indico.cern.ch/event/1338689/contributions/6016093/,DUNE,"['data-flow', 'parallelism', 'HENP', 'oneTBB', 'workflow']",2,Poster,0.6,[]
2024-10-23,07:00:00,Room 4,Parsing TTreeFormula in Python,"The presentation discusses the development of a Python package called 'formulate' for parsing ROOT's TTreeFormula expressions, enabling easier integration with Uproot.",https://indico.cern.ch/event/1338689/contributions/6016067/,,"['Python', 'ROOT', 'TTreeFormula', 'parsing', 'Uproot', 'NumExpr', 'Awkward Array']",2,Poster,0.7,"['BNF', 'LALR', 'abstract syntax tree']"
2024-10-23,07:00:00,Room 4,Track classification in Active Target Time Projection Chamber using supervised machine learning methods,"This work develops a machine learning model for classifying α-particle tracks from the decay of the Hoyle state in a Time Projection Chamber, using advanced neural networks.",https://indico.cern.ch/event/1338689/contributions/6016060/,,"['Active Target Time Projection Chamber', 'machine learning', 'neural networks', 'Hough transformation', 'α-particle decay']",2,Poster,0.6,[]
2024-10-23,07:00:00,Room 4,Packaging HEP heterogeneous mini-apps for portable benchmarking and facility evaluation on modern HPCs,The work focuses on creating portable benchmarks for HEP mini-apps using containerization to streamline testing on GPU-based HPC facilities.,https://indico.cern.ch/event/1338689/contributions/6011872/,,"['HEP', 'GPU', 'benchmarking', 'mini-apps', 'containerization', 'HPC']",1,Poster,0.4,[]
2024-10-23,07:00:00,Room 4,Research on Wide Area Network Performance Anomaly Detection Technology Based on Machine Learning,"The paper presents a machine learning algorithm for detecting network performance anomalies using metrics from Perfsonar and other tools, aimed at improving network reliability.",https://indico.cern.ch/event/1338689/contributions/6011868/,,"['machine learning', 'network performance', 'anomaly detection', 'Perfsonar']",1,Poster,0.7,[]
2024-10-23,07:00:00,Room 4,AI-based approach for provider selection in the INDIGO PaaS Orchestration System of INFN Cloud,"The INFN Cloud initiative integrates AI for optimizing deployment scheduling in a cloud orchestration system, focusing on provider selection and deployment success analysis.",https://indico.cern.ch/event/1338689/contributions/6011867/,,"['AI', 'cloud orchestration', 'deployment scheduling', 'provider selection']",2,Poster,0.6,[]
2024-10-23,07:00:00,Room 4,The CloudVeneto’s Container-as-a-Service ecosystem,CloudVeneto is a distributed private cloud providing a managed Container-as-a-Service that simplifies orchestration and deployment for scientific computing.,https://indico.cern.ch/event/1338689/contributions/6011735/,,"['Cloud Computing', 'Container-as-a-Service', 'Kubernetes', 'OpenStack', 'Distributed Computing']",1,Poster,0.6,"['CloudVeneto', 'interLink-sidecar', 'Virtual Kubelet', 'EU interTwin project']"
2024-10-23,07:00:00,Room 4,Scientific NREC Cluster - a fast and flexible solution for virtual computing clusters on OpenStack,"The talk introduces the Scientific NREC Cluster, a flexible virtual computing solution leveraging the Norwegian Research and Education Cloud for scientific research.",https://indico.cern.ch/event/1338689/contributions/6011680/,,"['virtual computing', 'cloud computing', 'HPC', 'data-centric', 'SLURM', 'storage solutions']",1,Poster,0.4,[]
2024-10-23,07:00:00,Room 4,Event Workflow Management System - A SaaS Solution for Massively Divisible and Distributed Workflows,The presentation discusses a management system for efficiently partitioning and scheduling distributed workloads in high-throughput computing environments.,https://indico.cern.ch/event/1338689/contributions/6011032/,IceCube,"['workflow management', 'distributed computing', 'HTCondor', 'task scheduling', 'fine-grained tasks']",2,Poster,0.6,[]
2024-10-23,07:00:00,Room 4,Orchestrated columnar-based analysis with columnflow,"The abstract discusses a toolkit for automated columnar analysis in high-energy physics, focusing on handling large datasets and complex workflows.",https://indico.cern.ch/event/1338689/contributions/6011031/,,"['columnar analysis', 'automation', 'distributed computing', 'Python', 'machine learning', 'data workflow']",3,Poster,0.9,[]
2024-10-23,07:00:00,Room 4,Just-in-time workflow management for DUNE,The justIN workflow management system for the DUNE experiment addresses data processing needs for its large-scale operations and integrates various data management tools.,https://indico.cern.ch/event/1338689/contributions/6011030/,DUNE,"['workflow management', 'data processing', 'DUNE', 'GlideInWMS', 'Rucio', 'MetaCat']",1,Poster,0.7,[]
2024-10-23,07:00:00,Room 4,Automation and Job Management for LZ Simulations at NERSC,"The talk discusses the automated infrastructure for managing simulations for the LZ experiment at NERSC, focusing on job management and resource allocation.",https://indico.cern.ch/event/1338689/contributions/6011023/,LUX-ZEPLIN,"['dark matter', 'simulation', 'job management', 'HPC', 'NERSC']",1,Poster,0.6,[]
2024-10-23,07:00:00,Room 4,IceSONIC - Network AI Inference on Coprocessors for IceCube Offline Processing,"The presentation discusses the use of AI inference on coprocessors for IceCube's offline processing, focusing on optimizing data analysis pipelines with NVIDIA's Triton Inference Servers.",https://indico.cern.ch/event/1338689/contributions/6011021/,IceCube,"['AI', 'inference', 'coprocessors', 'Kubernetes', 'NVIDIA Triton']",1,Poster,0.6,[]
2024-10-23,07:00:00,Room 4,Keep-up Production in JUNO’s Offline Data Processing,The JUNO experiment is developing a pipeline for offline data processing to manage large data volumes with automated job handling and monitoring features.,https://indico.cern.ch/event/1338689/contributions/6011020/,JUNO,"['neutrino', 'data processing', 'pipeline', 'job monitoring', 'automation']",1,Poster,0.8,[]
2024-10-23,07:00:00,Room 4,Comprehensive Description and Orchestration of Complex Data Processing Pipelines,The paper presents a system for managing complex data processing pipelines with both centralized and decentralized methods for orchestration and monitoring.,https://indico.cern.ch/event/1338689/contributions/6011019/,,"['data processing', 'orchestration', 'workflow', 'data acquisition', 'stream processing']",2,Poster,0.6,"['ontology language', 'actor-based model']"
2024-10-23,06:33:00,Room 4,Exploiting Kubernetes to Simplify the Deployment and Management of the Multi-purpose CMS Pilot Job Factory,The presentation discusses migrating the GlideinWMS factory service to Kubernetes for improved management and scalability in distributed computing for HEP.,https://indico.cern.ch/event/1338689/contributions/6011013/,CMS,"['Kubernetes', 'GlideinWMS', 'distributed computing', 'scalability', 'HEP']",2,Poster,0.6,[]
2024-10-23,07:00:00,Room 4,Benchmarking XRootD-HTTPS on 400Gbps Links with Variable Latencies,This study assesses the performance of XRootD HTTP third-party copies in handling 400 Gbps bandwidth and varying latencies for data analysis at US-CMS Tier-2 sites.,https://indico.cern.ch/event/1338689/contributions/6010884/,CMS,"['XRootD', '400 Gbps', 'network performance', 'latency', 'data analysis']",1,Poster,0.7,[]
2024-10-23,07:00:00,Room 4,Design and construction of High Energy Photon Source (HEPS) scientific data storage system,The HEPS will handle significant data storage challenges by implementing a three-tier system for high energy photon data with various storage technologies and optimizations.,https://indico.cern.ch/event/1338689/contributions/6010881/,,"['data storage', 'HEPS', 'beamline storage', 'distributed computing', 'Lustre file system']",1,Poster,0.6,[]
2024-10-23,07:00:00,Room 4,Development of a WebRTC-Based Remote Desktop for Neutron Scattering Data Analysis on Openstack,A remote desktop system for neutron scattering data analysis using Openstack and WebRTC technology enhances efficiency in real-time data processing.,https://indico.cern.ch/event/1338689/contributions/6010703/,,"['neutron scattering', 'data analysis', 'Openstack', 'WebRTC', 'remote desktop']",1,Poster,0.6,[]
2024-10-23,07:00:00,Room 4,CppInterOp: Advancing Interactive C++ for High Energy Physics,"CppInterOp is a C++ interoperability library that enhances dynamic Python interactions with C++ codebases, optimizing computational tasks in high-energy physics.",https://indico.cern.ch/event/1338689/contributions/6010700/,,"['C++', 'Python', 'interoperability', 'Cling', 'LLVM', 'ROOT', 'high-energy physics']",1,Poster,0.4,[]
2024-10-22,07:00:00,Room 4,Portable HCAL reconstruction in the CMS detector using the Alpaka library,"CMS utilizes the Alpaka library for GPU and CPU performance portability in HCAL energy reconstruction, detailing the porting experience and performance validation.",https://indico.cern.ch/event/1338689/contributions/6018442/,CMS,"['HCAL', 'GPU', 'CPU', 'Alpaka', 'energy reconstruction']",1,Poster,0.6,[]
2024-10-22,07:00:00,Room 4,Evaluating a File-Based Event Builder to enhance the Data Acquisition in the CMS Experiment,"The abstract discusses the evaluation of a File-based Event Builder in the CMS DAQ system, focusing on performance and architecture for high event rates.",https://indico.cern.ch/event/1338689/contributions/6018438/,CMS,"['Data Acquisition', 'Event Builder', 'High Luminosity LHC', 'Network File System', 'DAQ']",1,Poster,0.7,[]
2024-10-22,07:00:00,Room 4,ATLAS Tile Calorimeter Software Tools for Data Quality Monitoring,"The presentation discusses software tools for monitoring data quality in the ATLAS Tile Calorimeter, highlighting recent advancements and tool consolidation efforts.",https://indico.cern.ch/event/1338689/contributions/6016094/,ATLAS,"['data quality monitoring', 'software tools', 'calorimeter', 'ATLAS', 'LHC']",1,Poster,0.6,[]
2024-10-22,07:00:00,Room 4,Microservices framework and configuration database for ATLAS ITk,"A framework using microservices for the configuration and operation of the ATLAS ITk system, focusing on the management of runkeys and database efficiency.",https://indico.cern.ch/event/1338689/contributions/6015424/,ATLAS,"['microservices', 'configuration database', 'readout chain', 'distributed system']",1,Poster,0.7,[]
2024-10-22,07:00:00,Room 4,"ATLAS usage of the Czech national HPC center: HyperQueue, cvmfsexec, and other news",The ATLAS experiment utilizes the Czech HPC center for improved resource efficiency through enhancements like HyperQueue and cvmfsexec for job scheduling and software distribution.,https://indico.cern.ch/event/1338689/contributions/6011840/,ATLAS,"['HPC', 'distributed computing', 'HyperQueue', 'CVMFS', 'Slurm']",1,Poster,0.6,[]
2024-10-22,07:00:00,Room 4,Managing accelerator control systems with Kubernetes at CERN,"This work discusses the implementation of a Kubernetes service at CERN for managing accelerator control systems, focusing on infrastructure and use case adaptations.",https://indico.cern.ch/event/1338689/contributions/6011838/,,"['Kubernetes', 'CERN', 'accelerator control', 'cloud native', 'service levels']",1,Poster,0.7,[]
2024-10-22,06:36:00,Room 4,Surrogate Modeling for Scalable Evaluation of Distributed Computing Systems for HEP applications,"This work explores using machine learning as surrogate models to evaluate distributed computing systems in HEP, addressing scalability and accuracy challenges in simulations.",https://indico.cern.ch/event/1338689/contributions/6011010/,,"['Machine Learning', 'Distributed Computing', 'Surrogate Modeling', 'Simulation', 'HEP']",3,Poster,0.85,[]
2024-10-22,07:00:00,Room 4,Facilitating Scientific Reproducibility and Interoperability through CWL Integration in the Dirac Grid Middleware,The abstract discusses the integration of Common Workflow Language (CWL) into Dirac middleware to enhance scientific workflow reproducibility and interoperability.,https://indico.cern.ch/event/1338689/contributions/6010997/,,"['Dirac', 'CWL', 'workflow', 'reproducibility', 'interoperability', 'grid computing']",1,Poster,0.4,[]
2024-10-22,07:00:00,Room 4,Investigating Data Access Models for ATLAS: A Case Study with FABRIC Across Borders and ServiceX,This study examines a data access model aimed at enhancing analysis speed and efficiency in data storage through edge computing and the ServiceX framework.,https://indico.cern.ch/event/1338689/contributions/6010838/,ATLAS,"['data access', 'ServiceX', 'edge computing', 'WAN bandwidth', 'data management']",3,Poster,0.9,"['WAN', 'edge computing', 'Kubernetes']"
2024-10-22,07:00:00,Room 4,PATOF: From the Past To the Future: Legacy Data in Small and Medium-Scale “PUNCH” Experiments - a Blueprint for PUNCH and Other Disciplines,The PATOF project aims to create a FAIR Metadata Factory for legacy data management and metadata schema development across various experiments.,https://indico.cern.ch/event/1338689/contributions/6010830/,MAMI,"['FAIR principles', 'metadata', 'data preservation', 'experiments', 'data management']",2,Poster,0.7,[]
