Date,Time,Room,Title,Summary,Url,Experiment,Keywords,Interest,Type,Confidence,Unknown Terms
2024-08-29,17:32:35,,"Smaller, Weaker, Yet Better: Training LLM Reasoners via Compute-Optimal Sampling","The work investigates the trade-offs in training language models using synthetic data from stronger versus weaker models, revealing that weaker models may yield better performance.",http://arxiv.org/pdf/2408.16737v1,,"['language models', 'synthetic data', 'training', 'compute-optimal', 'reasoning']",1,,0.8,[]
2024-08-29,17:18:53,,"Mini-Omni: Language Models Can Hear, Talk While Thinking in Streaming","The paper presents an audio-based conversational model, Mini-Omni, allowing real-time speech interaction without latency from text-to-speech systems.",http://arxiv.org/pdf/2408.16725v1,,"['language models', 'speech interaction', 'real-time', 'end-to-end model', 'audio processing']",1,,0.2,[]
2024-08-29,17:07:43,,A GREAT Architecture for Edge-Based Graph Problems Like TSP,The paper presents a novel Graph Edge Attention Network (GREAT) for solving combinatorial optimization problems like the Traveling Salesman Problem (TSP) using neural networks.,http://arxiv.org/pdf/2408.16717v1,,"['graph neural networks', 'combinatorial optimization', 'Traveling Salesman Problem', 'reinforcement learning']",1,,0.7,[]
2024-08-29,17:00:47,,"Enhanced forecasting of stock prices based on variational mode decomposition, PatchTST, and adaptive scale-weighted layer","This study presents a framework for forecasting stock prices using variational mode decomposition and machine learning techniques, improving prediction accuracy across major indices.",http://arxiv.org/pdf/2408.16707v1,,"['stock forecasting', 'variational mode decomposition', 'machine learning', 'financial analysis']",1,,0.8,[]
2024-08-29,17:00:38,,Incremental Context-free Grammar Inference in Black Box Settings,The work presents a new method for black-box context-free grammar inference that improves grammar quality and runtime by segmenting example strings.,http://arxiv.org/pdf/2408.16706v1,,"['grammar inference', 'black-box', 'computational efficiency', 'precision', 'recall']",1,,0.8,[]
2024-08-29,16:48:03,,To Be or Not To Be: Adding Integrity Constraints to stableKanren to Make a Decision,This work proposes a new approach to integrate integrity constraints into stableKanren for solving combinatorial search problems using a uniform framework.,http://arxiv.org/pdf/2408.16699v1,,"['integrity constraints', 'stableKanren', 'combinatorial search', 'answer set programming']",1,,0.7,[]
2024-08-29,16:47:58,,SympGNNs: Symplectic Graph Neural Networks for identifiying high-dimensional Hamiltonian systems and node classification,"The work presents Symplectic Graph Neural Networks (SympGNNs) to identify high-dimensional Hamiltonian systems and perform node classification, addressing challenges in graph neural networks.",http://arxiv.org/pdf/2408.16698v1,,"['Graph Neural Networks', 'Hamiltonian Systems', 'Machine Learning', 'Node Classification']",1,,0.4,[]
2024-08-29,16:32:24,,CW-CNN & CW-AN: Convolutional Networks and Attention Networks for CW-Complexes,"This paper introduces a framework for applying convolutional and attention networks to CW-complex structured data, aimed at enhancing machine learning in cheminformatics.",http://arxiv.org/pdf/2408.16686v1,,"['CW-complexes', 'machine learning', 'neural networks', 'cheminformatics']",2,,0.6,[]
2024-08-29,16:28:43,,A Catalog of Fairness-Aware Practices in Machine Learning Engineering,"This paper presents a catalog of practices for ensuring fairness in the machine learning lifecycle, addressing concerns about discrimination and reliability.",http://arxiv.org/pdf/2408.16683v1,,"['Machine Learning', 'Fairness', 'Software Engineering', 'Metrics', 'Lifecycle']",1,,0.3,[]
2024-08-29,16:26:32,,"On Nucleon ""Radii""",The study critiques the geometric interpretations of nucleon radii and describes the gluon cloud's role in nucleon-nucleon interactions at high energy.,http://arxiv.org/pdf/2408.16679v1,,"['nucleon', 'radii', 'gluons', 'scattering', 'Gribov parton scheme']",1,,0.8,[]
2024-08-29,16:26:17,,Digital stabilization of an IQ modulator in the carrier suppressed single side-band (CS-SSB) mode for atom interferometry,"An all-digital method is presented for stabilizing phase biases in an I/Q modulator for atom interferometry, achieving significant optical power suppression.",http://arxiv.org/pdf/2408.16678v1,,"['digital stabilization', 'I/Q modulator', 'atom interferometry', 'phase biases', 'feedback controller']",1,,0.7,[]
2024-08-29,16:22:15,,Cold Quark Matter: Renormalization Group Improvement at next-to-next-to leading order,The work discusses an improved calculation of QCD pressure at zero temperature and baryonic densities using renormalization group optimized perturbation theory.,http://arxiv.org/pdf/2408.16674v1,,"['QCD', 'pressure', 'renormalization group', 'perturbation theory', 'baryonic densities']",1,,0.7,[]
2024-08-29,16:21:00,,Jina-ColBERT-v2: A General-Purpose Multilingual Late Interaction Retriever,"The paper presents Jina-ColBERT-v2, an improved model for multilingual information retrieval that enhances efficiency and reduces storage requirements.",http://arxiv.org/pdf/2408.16672v1,,"['information retrieval', 'multilingual', 'machine learning', 'ColBERT', 'data efficiency']",1,,0.7,[]
2024-08-29,16:21:00,,Entropic Distribution Matching in Supervised Fine-tuning of LLMs: Less Overfitting and Better Diversity,This work proposes a new method for fine-tuning large language models that reduces overfitting and improves output diversity through a maximum entropy principle.,http://arxiv.org/pdf/2408.16673v1,,"['large language models', 'supervised fine-tuning', 'entropy regularization', 'Kullback-Leibler divergence', 'output diversity']",1,,0.2,[]
2024-08-29,16:15:01,,Iterative Graph Alignment,"The work presents Iterative Graph Alignment (IGA), a rule-based alignment algorithm for improving the performance of large language models in rule-based tasks.",http://arxiv.org/pdf/2408.16667v1,,"['Iterative Graph Alignment', 'large language models', 'alignment', 'self-supervised learning']",1,,0.3,[]
2024-08-29,15:57:37,,Measurement of the Decay $Ξ^{0}\toΛγ$ with Entangled $Ξ^{0}\barΞ^{0}$ Pairs,"The study measures the decay of \\Xi^{0} to \\Lambda\\gamma, determining its branching fraction and decay asymmetry, providing insights into weak radiative hyperon decays.",http://arxiv.org/pdf/2408.16654v1,,"['weak decays', 'hyperons', 'branching fraction', 'asymmetry parameter', 'CP symmetry']",1,,0.7,[]
2024-08-29,15:56:22,,Optimal Parallelization of Boosting,"This work addresses the parallel complexity of Boosting algorithms, providing improved lower bounds and a matching parallel algorithm across the tradeoff spectrum.",http://arxiv.org/pdf/2408.16653v1,,"['Boosting', 'parallel algorithms', 'machine learning', 'complexity']",1,,0.7,[]
2024-08-29,15:55:27,,Towards Efficient Modelling of String Dynamics: A Comparison of State Space and Koopman based Deep Learning Methods,"This study compares State Space Models and Koopman-based deep learning for modeling dynamics of stiff strings, focusing on non-linear behaviors and model generalization.",http://arxiv.org/pdf/2408.16650v1,,"['State Space Models', 'Koopman', 'deep learning', 'dynamics', 'non-linear systems']",1,,0.7,[]
2024-08-29,15:52:56,,DriveGenVLM: Real-world Video Generation for Vision Language Model based Autonomous Driving,"The paper presents DriveGenVLM, a framework for generating driving videos using vision language models to enhance understanding and prediction in autonomous driving.",http://arxiv.org/pdf/2408.16647v1,,"['autonomous driving', 'vision language models', 'video generation', 'AI', 'deep learning']",1,,0.2,[]
2024-08-29,15:52:50,,Study of the rare decay $J/ψ\to μ^+μ^-μ^+μ^-$,"The study reports the observation and measurement of the rare decay J/ψ → μ⁺μ⁻μ⁺μ⁻ using LHCb data, with branching fraction determined.",http://arxiv.org/pdf/2408.16646v1,LHCb,"['rare decays', 'J/ψ', 'muons', 'branching fraction', 'LHC']",1,,0.7,[]
2024-08-29,15:45:42,,Flavor Dependence of Charged Pion Fragmentation Functions,The study measures flavor-dependent multiplicities for pi^+ and pi^- production in SIDIS to investigate charge symmetry violation in fragmentation functions.,http://arxiv.org/pdf/2408.16640v1,Jefferson Lab,"['pion fragmentation', 'charge symmetry violation', 'semi-inclusive deep-inelastic scattering', 'flavor dependence']",1,,0.8,[]
2024-08-29,15:42:06,,3D Pose-Based Temporal Action Segmentation for Figure Skating: A Fine-Grained and Jump Procedure-Aware Annotation Approach,This study focuses on segmenting figure skating actions from videos using a new dataset and method for analyzing 3D pose data.,http://arxiv.org/pdf/2408.16638v1,,"['figure skating', '3D pose', 'temporal action segmentation', 'dataset', 'motion capture']",1,,0.2,[]
2024-08-29,15:39:33,,RLCP: A Reinforcement Learning-based Copyright Protection Method for Text-to-Image Diffusion Model,This work presents a reinforcement learning method to minimize copyright infringement in text-to-image models while ensuring image quality.,http://arxiv.org/pdf/2408.16634v1,,"['Reinforcement Learning', 'Copyright Protection', 'Text-to-Image', 'Diffusion Models']",1,,0.7,[]
2024-08-29,15:39:12,,Optimizing Automated Picking Systems in Warehouse Robots Using Machine Learning,"This study explores the use of machine learning to optimize automated picking systems in warehouse robots, enhancing efficiency and accuracy in logistics.",http://arxiv.org/pdf/2408.16633v1,,"['machine learning', 'automation', 'logistics', 'warehouse robots', 'deep learning', 'reinforcement learning']",1,,0.3,[]
2024-08-29,15:39:04,,Maelstrom Networks,"The work introduces Maelstrom Networks, a neural network paradigm that combines recurrent and feed-forward networks for improved memory and learning capabilities.",http://arxiv.org/pdf/2408.16632v1,,"['Artificial Neural Networks', 'working memory', 'deep learning', 'recurrent networks', 'feed-forward networks']",1,,0.4,[]
2024-08-29,15:36:52,,LLMs generate structurally realistic social networks but overestimate political homophily,"The study develops prompting methods for generating social networks using LLMs, comparing realism and bias in the generated networks against real-world data.",http://arxiv.org/pdf/2408.16629v1,,"['social networks', 'LLMs', 'network generation', 'political homophily', 'bias']",1,,0.7,[]
2024-08-29,15:31:51,,Turbulence Strength $C_n^2$ Estimation from Video using Physics-based Deep Learning,"The paper discusses estimating turbulence strength using deep learning methods on video data, comparing classical and modern techniques for improved accuracy.",http://arxiv.org/pdf/2408.16623v1,,"['turbulence', 'deep learning', 'image processing', 'data release', 'differentiable programming']",1,,0.4,[]
2024-08-29,15:28:42,,Towards Infusing Auxiliary Knowledge for Distracted Driver Detection,The paper presents a method for detecting distracted driving using auxiliary knowledge to improve model performance on driver distraction classification.,http://arxiv.org/pdf/2408.16621v1,,"['distracted driving', 'driver detection', 'machine learning', 'scene graphs', 'pose estimation']",1,,0.2,[]
2024-08-29,15:28:01,,Hyperdimensional Vector Tsetlin Machines with Applications to Sequence Learning and Generation,This work presents a two-layered model using hyperdimensional vector computing and Tsetlin machines for efficient sequence learning and classification.,http://arxiv.org/pdf/2408.16620v1,,"['machine learning', 'sequence learning', 'Tsetlin machines', 'hyperdimensional computing']",1,,0.3,[]
2024-08-29,15:20:17,,Blending Low and High-Level Semantics of Time Series for Better Masked Time Series Generation,"This work introduces NC-VQVAE, a framework for generating time series that captures both low and high-level semantics, improving the quality of synthetic samples.",http://arxiv.org/pdf/2408.16613v1,,"['time series generation', 'self-supervised learning', 'latent vectors', 'synthetic samples']",1,,0.7,[]
2024-08-29,15:19:06,,Data Quality Monitoring through Transfer Learning on Anomaly Detection for the Hadron Calorimeters,"This study applies transfer learning to improve anomaly detection in the Hadron Calorimeter, demonstrating enhanced model performance through pre-trained models.",http://arxiv.org/pdf/2408.16612v1,CMS,"['transfer learning', 'anomaly detection', 'Hadron Calorimeter', 'machine learning']",2,,0.7,[]
2024-08-29,15:14:52,,Subspace Representation Learning for Sparse Linear Arrays to Localize More Sources than Sensors: A Deep Learning Methodology,"The study presents a deep learning methodology for localizing more sources than sensors using sparse linear arrays, focusing on subspace representation learning.",http://arxiv.org/pdf/2408.16605v1,,"['deep learning', 'sparse linear arrays', 'subspace representation', 'signal processing']",1,,0.6,[]
2024-08-29,15:12:56,,Distinguishing the sources of dielectron anisotropic flow at low beam energies,"The study analyzes dielectron anisotropic flow in heavy-ion collisions, focusing on distinguishing contributions from baryonic and mesonic resonances using different measurement methods.",http://arxiv.org/pdf/2408.16603v1,HADES,"['dielectron flow', 'heavy-ion collisions', 'anisotropic flow', 'scalar product method', 'baryonic resonances', 'mesonic resonances']",1,,0.4,[]
2024-08-29,15:12:16,,Examination of Code generated by Large Language Models,The paper evaluates the correctness and quality of code generated by large language models like ChatGPT and Copilot through controlled experiments.,http://arxiv.org/pdf/2408.16601v1,,"['Large Language Models', 'Code Generation', 'Software Development', 'Correctness', 'Quality Assessment']",1,,0.4,[]
2024-08-29,15:09:04,,sEMG-Driven Physics-Informed Gated Recurrent Networks for Modeling Upper Limb Multi-Joint Movement Dynamics,"This study presents a physics-informed Gated Recurrent Network for predicting upper limb joint dynamics using sEMG data, showing high accuracy in torque predictions.",http://arxiv.org/pdf/2408.16599v1,,"['sEMG', 'Gated Recurrent Networks', 'multi-joint movement', 'physics-informed neural networks', 'rehabilitation systems']",1,,0.7,[]
2024-08-29,14:55:33,,High-Dimensional Sparse Data Low-rank Representation via Accelerated Asynchronous Parallel Stochastic Gradient Descent,"This work proposes an efficient algorithm for low-rank representation of high-dimensional sparse data, improving accuracy and training time through a novel optimization approach.",http://arxiv.org/pdf/2408.16592v1,,"['low-rank representation', 'high-dimensional data', 'sparse data', 'stochastic gradient descent', 'parallel computing']",1,,0.4,[]
2024-08-29,14:52:42,,CrisperWhisper: Accurate Timestamps on Verbatim Speech Transcriptions,The presentation discusses improvements to the Whisper speech recognition model for accurate timestamping and verbatim transcription under various conditions.,http://arxiv.org/pdf/2408.16589v1,,"['speech recognition', 'timestamps', 'verbatim transcription', 'dynamic time warping', 'noise robustness']",1,,0.7,[]
2024-08-29,14:49:13,,Enhancing Dialogue Generation in Werewolf Game Through Situation Analysis and Persuasion Strategies,"This work explores the use of large language models to enhance dialogue generation in the Werewolf Game, focusing on situation analysis and persuasion strategies.",http://arxiv.org/pdf/2408.16586v1,,"['natural language processing', 'large language models', 'dialogue systems', 'Werewolf Game', 'persuasion strategies']",1,,0.2,[]
2024-08-29,14:48:40,,Strange stars admixed with dark matter: equiparticle model in a two fluid approach,This work investigates strange stars mixed with dark matter using a quark model and explores stable configurations with fermionic and bosonic dark matter.,http://arxiv.org/pdf/2408.16583v1,,"['dark matter', 'strange stars', 'quark model', 'fermionic', 'bosonic']",1,,0.6,[]
2024-08-29,14:44:12,,Transformers Meet ACT-R: Repeat-Aware and Sequential Listening Session Recommendation,This work presents a sequential music recommendation system that accounts for repetitive listening behaviors using a Transformer architecture informed by cognitive psychology.,http://arxiv.org/pdf/2408.16578v1,,"['music recommendation', 'sequential recommender systems', 'Transformer', 'repetitive behavior', 'ACT-R']",1,,0.2,[]
2024-08-29,14:43:42,,Seeking the Sufficiency and Necessity Causal Features in Multimodal Representation Learning,"This work addresses challenges in multimodal representation learning by identifying necessary and sufficient causal features, proposing a method for high-PNS representation.",http://arxiv.org/pdf/2408.16577v1,,"['representation learning', 'multimodal', 'causal features', 'deep learning', 'optimization']",1,,0.3,"['PNS', 'Exogeneity', 'Monotonicity']"
2024-08-29,14:40:32,,An Adaptive Latent Factorization of Tensors Model for Embedding Dynamic Communication Network,The paper presents an Adaptive Temporal-dependent Tensor low-rank representation model for analyzing dynamic communication networks using high-dimensional sparse tensors.,http://arxiv.org/pdf/2408.16573v1,,"['Dynamic Communication Network', 'High-Dimensional Sparse Tensor', 'Tensor Representation', 'Machine Learning', 'Hyper-parameter Optimization']",1,,0.4,[]
2024-08-29,14:35:14,,Identifying Terrain Physical Parameters from Vision -- Towards Physical-Parameter-Aware Locomotion and Navigation,"The work proposes a self-supervised learning framework for estimating physical terrain properties from visual input, enhancing robotic navigation and locomotion.",http://arxiv.org/pdf/2408.16567v1,,"['robotics', 'self-supervised learning', 'physical parameter estimation', 'vision', 'locomotion', 'navigation']",1,,0.2,[]
2024-08-29,14:18:54,,Android Malware Detection Based on RGB Images and Multi-feature Fusion,"This work presents a technique for detecting Android malware using RGB images and multi-feature fusion, achieving high accuracy against existing methods.",http://arxiv.org/pdf/2408.16555v1,,"['Android', 'malware detection', 'image classification', 'feature fusion', 'Canny edge detection']",1,,0.9,[]
2024-08-29,14:16:13,,Super-Resolution works for coastal simulations,"The presentation discusses a deep learning approach to enhance coastal ocean simulations from low-resolution data, improving predictive capabilities for flooding events.",http://arxiv.org/pdf/2408.16553v1,,"['Deep Learning', 'Coastal Simulations', 'Super-Resolution', 'Physics-Informed Loss', 'Spatiotemporal Attention']",1,,0.3,[]
2024-08-29,14:15:02,,AAK24: Global QCD analysis on polarized parton distribution in the presence of $A_2$ asymmetry measurements,"The work presents a NLO QCD analysis focusing on polarized parton distribution functions using recent experimental data, emphasizing the role of semi-inclusive measurements.",http://arxiv.org/pdf/2408.16552v1,,"['QCD', 'polarized parton distribution', 'DIS', 'SIDIS', 'symmetry breaking', 'uncertainties', 'Hessian method']",1,,0.8,[]
2024-08-29,14:01:30,,Statistical and Geometrical properties of regularized Kernel Kullback-Leibler divergence,"This work introduces a regularized variant of the Kullback-Leibler divergence using kernel covariance operators, addressing limitations in existing divergences.",http://arxiv.org/pdf/2408.16543v1,,"['Kullback-Leibler divergence', 'kernel methods', 'regularization', 'probability distributions']",1,,0.7,[]
2024-08-29,14:00:57,,SALSA: Speedy ASR-LLM Synchronous Aggregation,"The work presents SALSA, a novel approach to improve automatic speech recognition for low-resource languages using pre-trained large language models, achieving significant error reductions.",http://arxiv.org/pdf/2408.16542v1,,"['ASR', 'LLM', 'low-resource languages', 'error correction', 'machine learning']",1,,0.2,[]
2024-08-29,13:53:16,,On the Schwinger effect during axion inflation,"The work revisits Schwinger pair-production during axion inflation, improving predictions for gauge-field production efficiency and energy densities.",http://arxiv.org/pdf/2408.16538v1,,"['Schwinger effect', 'axion inflation', 'gauge fields', 'pair production']",1,,0.7,[]
2024-08-29,13:52:28,,SFR-GNN: Simple and Fast Robust GNNs against Structural Attacks,"The work presents SFR-GNN, an efficient defense method for Graph Neural Networks against adversarial structural attacks, achieving significant speedup and robustness in node classification tasks.",http://arxiv.org/pdf/2408.16537v1,,"['Graph Neural Networks', 'adversarial attacks', 'efficiency', 'robustness', 'node classification']",1,,0.7,[]
2024-08-29,13:50:08,,"TinyTNAS: GPU-Free, Time-Bound, Hardware-Aware Neural Architecture Search for TinyML Time Series Classification","TinyTNAS is a multi-objective Neural Architecture Search tool for optimizing neural networks for TinyML applications, focusing on efficiency without GPU reliance.",http://arxiv.org/pdf/2408.16535v1,,"['TinyML', 'Neural Architecture Search', 'CPU optimization', 'time series classification', 'resource constraints']",1,,0.7,[]
2024-08-29,13:43:36,,WavTokenizer: an Efficient Acoustic Discrete Codec Tokenizer for Audio Language Modeling,"WavTokenizer is an acoustic codec tokenizer that compresses audio signals into discrete tokens, achieving state-of-the-art quality with fewer tokens through advanced techniques.",http://arxiv.org/pdf/2408.16532v1,,"['audio modeling', 'codec tokenizer', 'compression', 'semantic information', 'reconstruction quality']",1,,0.8,[]
2024-08-29,13:39:30,,Electromagnetic responses of a nonextensive quark-gluon plasma,The study investigates electromagnetic properties of a nonextensive quark-gluon plasma using kinetic theory to derive gluon self-energies and related indices.,http://arxiv.org/pdf/2408.16528v1,,"['quark-gluon plasma', 'electromagnetic responses', 'kinetic theory', 'gluons', 'nonextensive statistics']",1,,0.8,[]
2024-08-29,13:39:01,,Multitask learning for improved scour detection: A dynamic wave tank study,The study employs a Bayesian hierarchical model for multitask learning to enhance anomaly detection in offshore wind turbine structures using natural frequency observations.,http://arxiv.org/pdf/2408.16527v1,,"['Bayesian', 'multitask learning', 'structural health monitoring', 'offshore wind farm', 'anomaly detection']",1,,0.7,[]
2024-08-29,13:28:11,,Adaptive Variational Continual Learning via Task-Heuristic Modelling,"This work presents AutoVCL, an extension of the GVCL model that optimizes hyperparameters based on task similarity and difficulty.",http://arxiv.org/pdf/2408.16517v1,,"['variational continual learning', 'hyperparameter optimization', 'task heuristics']",1,,0.7,[]
2024-08-29,12:49:22,,On-device AI: Quantization-aware Training of Transformers in Time-Series,The research focuses on optimizing the Transformer model for time-series forecasting on resource-limited sensor devices using quantization-aware training.,http://arxiv.org/pdf/2408.16495v1,,"['AI', 'Transformers', 'Time-Series', 'Optimization', 'Quantization', 'FPGAs']",1,,0.2,[]
2024-08-29,12:09:55,,Gravitational waves from thermal heavy scalar dark matter,The study presents a scalar dark matter candidate with a mass of 1-10 TeV and its implications for gravitational wave signals from phase transitions.,http://arxiv.org/pdf/2408.16475v1,,"['dark matter', 'gravitational waves', 'electroweak phase transition', 'scalar particle']",1,,0.5,"['gauge singlet scalar', 'Higgs portal mediator', 'supercooling']"
2024-08-29,11:51:41,,An Exploratory Deep Learning Approach for Predicting Subsequent Suicidal Acts in Chinese Psychological Support Hotlines,"This research explores the use of AI to improve suicide risk prediction in support hotlines, demonstrating a novel model that outperforms traditional methods.",http://arxiv.org/pdf/2408.16463v1,,"['Deep Learning', 'Suicide Prediction', 'Psychological Support', 'Artificial Intelligence']",1,,0.8,[]
2024-08-29,11:45:01,,HYGENE: A Diffusion-based Hypergraph Generation Method,"The work presents HYGENE, a method for generating hypergraphs using a diffusion-based approach, demonstrating its ability to model complex relationships.",http://arxiv.org/pdf/2408.16457v1,,"['hypergraphs', 'deep learning', 'generative models', 'diffusion process']",1,,0.3,[]
2024-08-29,11:24:16,,Event-activity-dependent beauty-baryon enhancement in simulations with color junctions,"The study explores the enhancement of beauty baryon-to-meson production ratios in LHC data, examining event activity and color reconnection models.",http://arxiv.org/pdf/2408.16447v1,"LHCb, ALICE","['beauty baryons', 'event activity', 'color reconnection', 'heavy flavor']",1,,0.6,[]
2024-08-29,11:07:48,,Integrating Features for Recognizing Human Activities through Optimized Parameters in Graph Convolutional Networks and Transformer Architectures,"This study explores deep learning techniques for human activity recognition, focusing on feature fusion in Graph Convolutional Networks and Transformers.",http://arxiv.org/pdf/2408.16442v1,,"['human activity recognition', 'deep learning', 'feature fusion', 'Graph Convolutional Networks', 'Transformer architectures']",1,,0.8,[]
2024-08-29,11:05:20,,Analysis of the semileptonic $B_c\to D_s^*μ^+ μ^-$ decay mode in the effective field theory approach,"The study explores the exclusive semileptonic decay $B_c\\to D_s^{*}\\mu^+ \\mu^-$ using Effective Field Theory, predicting observables and branching ratios amidst potential new physics.",http://arxiv.org/pdf/2408.16439v1,Belle-II,"['semileptonic decay', 'Effective Field Theory', 'branching ratio', 'new physics', 'B_c', 'D_s*', 'b to s transition']",1,,0.7,[]
2024-08-29,10:44:59,,Do Recommender Systems Promote Local Music? A Reproducibility Study Using Music Streaming Data,"This study analyzes how recommender systems affect local music representation, highlighting biases and the importance of dataset diversity in conclusions.",http://arxiv.org/pdf/2408.16430v1,,"['recommender systems', 'local music', 'algorithmic biases', 'music streaming', 'data reproducibility']",1,,0.8,[]
2024-08-29,10:43:55,,Gradient-free variational learning with conditional mixture networks,"The work presents a method for efficient Bayesian learning using conditional mixture networks, focusing on gradient-free inference and competitive predictive performance.",http://arxiv.org/pdf/2408.16429v1,,"['Bayesian methods', 'machine learning', 'conditional mixture networks', 'gradient-free inference']",1,,0.6,[]
2024-08-29,10:36:29,,COIN: Control-Inpainting Diffusion Prior for Human and Camera Motion Estimation,"The study presents COIN, a method for disentangling human and camera motions in videos, improving motion estimation accuracy with a novel control-inpainting approach.",http://arxiv.org/pdf/2408.16426v1,,"['motion estimation', 'camera motion', 'human motion', 'diffusion models', 'optimization']",1,,0.8,[]
2024-08-29,10:35:07,,A Comparative Study of Hyperparameter Tuning Methods,"This study evaluates three hyperparameter tuning algorithms across regression and classification tasks, highlighting the importance of choosing the right method based on the model type.",http://arxiv.org/pdf/2408.16425v1,,"['hyperparameter tuning', 'machine learning', 'regression', 'classification', 'model optimization']",1,,0.4,[]
2024-08-29,10:21:00,,Fourier Spectral Physics Informed Neural Network: An Efficient and Low-Memory PINN,This work presents a new approach to physics-informed neural networks that reduces memory use and training time while improving accuracy through spectral methods.,http://arxiv.org/pdf/2408.16414v1,,"['physics-informed neural networks', 'spectral methods', 'machine learning', 'efficiency', 'accuracy']",1,,0.4,[]
2024-08-29,10:05:56,,A Bi-polar Current Source with High Short-term Stability for Tsinghua Tabletop Kibble Balance,"The paper presents a digital-feedback current source designed for Kibble balance experiments, achieving high precision and stability for weighing measurements.",http://arxiv.org/pdf/2408.16405v1,,"['current source', 'Kibble balance', 'high precision', 'digital feedback', 'stability']",1,,0.8,[]
2024-08-29,10:02:29,,DeepSPoC: A Deep Learning-Based PDE Solver Governed by Sequential Propagation of Chaos,"The presentation introduces deepSPoC, a method combining sequential propagation of chaos and deep learning to solve stochastic differential equations and improve computational efficiency.",http://arxiv.org/pdf/2408.16403v1,,"['Deep Learning', 'Stochastic Differential Equations', 'Mean-Field Equations', 'Normalizing Flows']",1,,0.5,"['Sequential Propagation of Chaos', 'Normalizing Flows', 'Fokker-Planck equations']"
2024-08-29,09:55:55,,Illuminating the Diversity-Fitness Trade-Off in Black-Box Optimization,"The paper explores the trade-off between solution diversity and quality in optimization, emphasizing the importance of diverse options for decision-makers.",http://arxiv.org/pdf/2408.16393v1,,"['diversity optimization', 'quality diversity', 'multimodal optimization', 'search heuristics', 'empirical study']",1,,0.7,[]
